,RegionName,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
0,California,1,,,,,,,,,,,,,2700.0,2692.5,2742.5,2797.5,2850.0,2800.0,2800.0,2800.0,2895.0,2700.0,2750.0,2600.0,2650.0,2680.0,2525.0,2500.0,2500.0,2500.0,2500.0,2450.0,2350.0,2300.0,2300.0,2300.0,2350.0,2300.0,2300.0,2300.0,2395.0,2425.0,2400.0,2495.0,2450.0,2350.0,2450.0,2450.0,2395.0,2399.5,2400.0,2600.0,2600.0,2695.0,2695.0,2650.0,2650.0,2700.0,2650.0,2695.0,2743.0,2800.0,2850.0,2900.0,2995.0,2995.0,2995.0,2950.0,2900.0,2850.0,2800.0,2890.0,2990.0,3000.0,3000.0,3200.0,3000.0,3100.0,3000.0,3095.0,3000.0,3200.0,3000.0,3000.0,3170.0,3250.0,3350.0,3500.0,3500.0,3500.0,3495.0,3400.0,3298.0,3295.0,3300.0,3200.0,3400.0,3350.0,3500.0,3500.0,3500.0,3547.5,3500.0,3500.0,3400.0,3400.0,3500.0,3435.0,3495.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3400.0,3500.0,3500.0
1,Texas,2,,,,,,,,,,,,,,2172.5,2195.0,2200.0,2200.0,2195.0,2100.0,2100.0,2000.0,1995.0,2000.0,1995.0,1995.0,2000.0,1999.0,2000.0,2000.0,2012.5,2000.0,1950.0,1950.0,2000.0,1950.0,1900.0,1995.0,2000.0,2050.0,2000.0,2050.0,2072.5,2050.0,2000.0,1995.0,2000.0,2100.0,1999.5,1995.0,1995.0,2000.0,2200.0,2295.0,2295.0,2300.0,2350.0,2227.5,2200.0,2200.0,2250.0,2200.0,2250.0,2385.0,2400.0,2495.0,2450.0,2475.0,2499.0,2500.0,2500.0,2450.0,2450.0,2450.0,2500.0,2500.0,2400.0,2495.0,2500.0,2450.0,2595.0,2495.0,2400.0,2395.0,2350.0,2350.0,2400.0,2495.0,2495.0,2495.0,2500.0,2495.0,2500.0,2500.0,2500.0,2495.0,2430.0,2450.0,2495.0,2495.0,2500.0,2510.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2495.0,2500.0,2500.0,2585.0,2550.0,2595.0,2587.5,2550.0,2692.5,2750.0,2695.0,2596.0
2,Florida,3,,,,,,,,,,,,,,,,,,3000.0,3000.0,3000.0,3000.0,3000.0,2999.5,2950.0,2800.0,3200.0,3000.0,3100.0,3300.0,3300.0,3270.0,3100.0,3000.0,2995.0,2950.0,2950.0,2900.0,2950.0,2900.0,2900.0,2700.0,2900.0,2800.0,2967.5,3000.0,3000.0,3000.0,2900.0,2900.0,2800.0,2850.0,3000.0,3000.0,3200.0,2800.0,2800.0,2750.0,2800.0,2800.0,2800.0,2750.0,2700.0,2825.0,2800.0,2800.0,2750.0,2800.0,2700.0,2700.0,2800.0,2900.0,2930.0,2825.0,2900.0,2895.0,2850.0,2800.0,2700.0,2850.0,2900.0,2850.0,3000.0,2800.0,2800.0,2800.0,2800.0,2900.0,2850.0,2900.0,2950.0,3029.0,2995.0,3000.0,3000.0,3000.0,3000.0,3000.0,3200.0,3100.0,3000.0,3100.0,3100.0,3100.0,3000.0,3000.0,3195.0,3100.0,3050.0,3000.0,3000.0,3195.0,3137.5,3000.0,3000.0,3000.0,2999.0,2900.0,2899.5,2950.0
3,Georgia,4,,,,,,,,,,,,,2000.0,1975.0,2000.0,2000.0,2000.0,2100.0,2000.0,2000.0,2000.0,1950.0,1975.0,1900.0,1895.0,1950.0,1950.0,1975.0,1950.0,1900.0,1875.0,1700.0,1750.0,1700.0,1685.0,1650.0,1650.0,1695.0,1700.0,1700.0,1700.0,1700.0,1650.0,1700.0,1650.0,1600.0,1625.0,1600.0,1550.0,1565.0,1600.0,1750.0,1700.0,1700.0,1700.0,1795.0,1800.0,1795.0,1795.0,1795.0,1750.0,1790.0,1795.0,1800.0,1900.0,1900.0,1900.0,1852.5,1852.5,1829.0,1800.0,1850.0,1895.0,1895.0,1950.0,1950.0,1950.0,1950.0,1900.0,1995.0,1950.0,2000.0,1939.0,1800.0,1875.0,1900.0,2000.0,1995.0,2000.0,2000.0,1999.5,1995.0,1950.0,1950.0,1975.0,1950.0,1950.0,1995.0,1995.0,1995.0,2055.0,2000.0,2000.0,1995.0,2000.0,2000.0,2000.0,2000.0,1990.0,2000.0,2095.0,2100.0,2095.0,2095.0,2100.0,2100.0,2045.0,2031.5,2050.0
4,North Carolina,5,,,2500.0,2450.0,2250.0,2147.5,1995.0,2000.0,2200.0,2200.0,2300.0,2174.5,1950.0,1875.0,1800.0,1789.0,1850.0,1897.5,1862.5,1850.0,1787.5,1692.5,1600.0,1800.0,1700.0,1700.0,1850.0,1947.5,1900.0,1850.0,1825.0,1900.0,1750.0,1750.0,1750.0,1812.5,1850.0,1850.0,1750.0,1750.0,1800.0,1825.0,1800.0,1800.0,1800.0,1796.5,1795.0,1795.0,1795.0,1795.0,1795.0,1800.0,1900.0,1885.0,1800.0,1797.5,1800.0,1800.0,1850.0,1895.0,1895.0,1895.0,1885.0,1825.0,1862.5,1897.5,1800.0,1795.0,1900.0,1825.0,1850.0,1895.0,1975.0,1995.0,2000.0,1900.0,1850.0,2000.0,1995.0,1900.0,1875.0,1940.0,1845.0,2000.0,1990.0,1999.0,2000.0,2000.0,2000.0,2047.5,1997.0,1995.0,1999.0,2000.0,1995.0,1995.0,1985.0,1995.0,2035.0,2030.0,2100.0,2100.0,2100.0,2100.0,2100.0,2050.0,2100.0,2100.0,2100.0,2100.0,2099.5,2147.5,2100.0,2100.0,2097.0,2095.0,2097.0,2100.0,2050.0
5,New Jersey,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0,3300.0,3500.0,3500.0,3500.0,3000.0,3000.0,2900.0,2812.5,2750.0,3000.0,3000.0,3300.0,3700.0,4000.0,3700.0,3500.0,3183.0,2999.0,2874.5,2800.0,2899.5,2797.5,2900.0,3300.0,3500.0,3700.0,3700.0,3800.0,3500.0,3000.0,2700.0,2800.0,2900.0,2750.0
6,Virginia,7,2250.0,2000.0,2200.0,2200.0,2300.0,2400.0,2395.0,2350.0,2295.0,2200.0,2195.0,2100.0,2195.0,2250.0,2175.0,2200.0,2295.0,2295.0,2300.0,2200.0,2200.0,2200.0,2200.0,2295.0,2200.0,2250.0,2300.0,2395.0,2395.0,2400.0,2319.5,2250.0,2200.0,2200.0,2200.0,2200.0,2200.0,2300.0,2350.0,2350.0,2300.0,2395.0,2450.0,2377.5,2300.0,2295.0,2250.0,2200.0,2295.0,2250.0,2300.0,2495.0,2500.0,2500.0,2500.0,2497.5,2350.0,2300.0,2300.0,2250.0,2200.0,2200.0,2395.0,2400.0,2500.0,2500.0,2400.0,2400.0,2300.0,2395.0,2400.0,2295.0,2250.0,2297.0,2250.0,2395.0,2362.5,2471.0,2500.0,2450.0,2445.0,2400.0,2300.0,2440.0,2325.0,2375.0,2450.0,2500.0,2600.0,2525.0,2500.0,2500.0,2500.0,2450.0,2500.0,2400.0,2375.0,2397.5,2497.0,2500.0,2550.0,2550.0,2500.0,2500.0,2400.0,2500.0,2495.0,2495.0,2400.0,2495.0,2500.0,2600.0,2650.0,2700.0,2600.0,2650.0,2600.0,2600.0,2500.0
7,Washington,8,,,,,,,,,,,,1612.5,1697.5,1795.0,1800.0,1950.0,1995.0,1800.0,1795.0,1850.0,1800.0,1800.0,1795.0,1775.0,1695.0,1662.5,1700.0,1700.0,1722.5,1750.0,1795.0,1725.0,1675.0,1595.0,1670.0,1650.0,1695.0,1695.0,1800.0,1800.0,1795.0,1800.0,1847.0,1697.5,1775.0,1792.5,1800.0,1750.0,1700.0,1700.0,1700.0,1900.0,1875.0,1900.0,1995.0,1950.0,1900.0,1895.0,1850.0,1895.0,1895.0,1900.0,1950.0,2000.0,1995.0,1995.0,2095.0,2110.0,2100.0,1995.0,1895.0,2000.0,1975.0,2100.0,1997.5,2200.0,2095.0,2250.0,2197.5,2200.0,2162.5,2250.0,2100.0,2295.0,2400.0,2500.0,2499.0,2500.0,2750.0,2600.0,2550.0,2547.5,2415.5,2350.0,2295.0,2285.0,2495.0,2500.0,2552.5,2695.0,2655.0,2650.0,2672.5,2695.0,2597.5,2575.0,2550.0,2500.0,2595.0,2650.0,2795.0,2695.0,2700.0,2700.0,2695.0,2650.0,2500.0,2500.0,2500.0
8,Massachusetts,9,,,,,,,,,,,,,,,,,,,,,,,,,,,3800.0,3900.0,3800.0,3700.0,3600.0,3650.0,3500.0,3600.0,3700.0,3900.0,3850.0,3800.0,3800.0,3800.0,3800.0,3800.0,3650.0,3600.0,3699.5,3600.0,3900.0,4200.0,4000.0,4100.0,4150.0,4000.0,3950.0,3850.0,3800.0,3844.0,3900.0,3800.0,4000.0,4200.0,4200.0,4000.0,4000.0,3995.0,3800.0,3795.0,3700.0,3600.0,3500.0,3600.0,4000.0,4350.0,4375.0,4300.0,4200.0,4100.0,4000.0,4000.0,4000.0,3977.5,3800.0,3700.0,4000.0,4475.0,4500.0,4400.0,4300.0,4300.0,4250.0,4200.0,4100.0,4000.0,3900.0,4200.0,4500.0,4650.0,4750.0,4550.0,4500.0,4475.0,4300.0,4200.0,4200.0,4000.0,4000.0,4300.0,4750.0,5000.0,4900.0,4800.0,4650.0,4600.0,4500.0,4450.0,4300.0,4300.0,4250.0,4650.0,4900.0
9,Tennessee,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495.0,1595.0,1695.0,1595.0,1562.5,1550.0,1695.0,1600.0,1447.5,1470.0,1572.5,1495.0,1650.0,1600.0,1595.0,1597.5,1745.0,1695.0,1599.0,1650.0,1650.0,1650.0,1799.0,1800.0,1650.0,1662.5,1750.0,1650.0,1665.0,1695.0,1705.0,1775.0,1800.0,1772.0,1612.5,1500.0,1500.0,1515.0,1650.0,1800.0
10,Missouri,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.0,1197.5,1250.0,1100.0,1100.0,1200.0,1129.0,1195.0,1104.5,1100.0,1200.0,1200.0,1195.0,1139.5,1195.0,1200.0,1249.0,1195.0,1200.0,1200.0,1200.0,1195.0,1100.0,1150.0,1100.0,1100.0,1100.0,1100.0,1125.0,1100.0,1150.0,1150.0,1240.0,1244.5,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
11,Maryland,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2697.5,2775.0,2600.0,2650.0,2925.0,3200.0,3120.0,2800.0,2995.0,3137.5,3337.5,3200.0,3300.0,3400.0,3000.0,3000.0,2770.0,2875.0,2790.0,2689.5,2650.0,2499.5,2625.0,2700.0,3000.0,3150.0,2825.0,2925.0,3000.0,3000.0,2800.0,3000.0,2897.5,2725.0,2775.0,2713.5,2700.0
12,Minnesota,13,,,,,,,,,,,,,,,,,,,,,1595.0,1599.5,1595.0,1599.5,1530.0,1650.0,1695.0,1650.0,1750.0,1992.5,1800.0,1775.0,1685.0,1695.0,1822.5,1750.0,1800.0,1700.0,1775.0,1995.0,1800.0,1875.0,1800.0,1795.0,1895.0,2000.0,1900.0,1900.0,1885.0,1850.0,1800.0,1895.0,1900.0,1757.5,1800.0,1800.0,1795.0,1995.0,2000.0,1997.0,1800.0,2000.0,1997.5,1950.0,1887.5,1800.0,1900.0,1900.0,1995.0,2047.5,2000.0,1950.0,2000.0,2000.0,1995.0,1995.0,1995.0,1800.0,2000.0,1900.0,1797.5,1900.0,1900.0,2100.0,2170.0,1950.0,1899.5,1800.0,1895.0,1992.5,1950.0,1872.5,2000.0,2262.5,2280.0,2147.5,2100.0,1995.0,2000.0,2122.5,2095.0,2050.0,1995.0,1895.0,1995.0,2300.0,2295.0,2177.5,2200.0,2200.0,2195.0,2250.0,2100.0,2191.5,1995.0,2095.0,2200.0,2250.0,2400.0
13,Colorado,14,,,,,,,,,,,,,,,,1737.5,1800.0,1795.0,1890.0,1895.0,1825.0,1800.0,1750.0,1750.0,1795.0,1900.0,2097.5,2000.0,1995.0,1895.0,1850.0,1795.0,1800.0,1895.0,1850.0,1950.0,1900.0,1925.0,1950.0,1850.0,1795.0,1700.0,1795.0,1795.0,1750.0,1995.0,1897.5,1950.0,1975.0,1950.0,1962.5,1895.0,1995.0,1912.5,1950.0,1950.0,1950.0,1985.0,1950.0,1995.0,2150.0,2200.0,2100.0,2200.0,2195.0,2195.0,2200.0,2124.5,2097.5,2147.0,2250.0,2350.0,2300.0,2200.0,2150.0,2150.0,2262.5,2250.0,2400.0,2100.0,2100.0,2400.0,2150.0,2295.0,2300.0,2250.0,2300.0,2395.0,2300.0,2250.0,2262.5,2299.0,2395.0,2400.0,2350.0,2399.5,2400.0,2400.0,2450.0,2400.0,2400.0,2400.0,2350.0,2395.0,2500.0,2497.0,2475.0,2495.0,2497.5,2495.5,2550.0,2500.0,2495.0,2450.0,2445.0,2500.0,2550.0,2595.0,2495.0
14,Alabama,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650.0,1745.0,1600.0,1800.0,1825.0,1800.0,1800.0,1837.5,1850.0,1875.0,1995.0,1962.5,1950.0,1950.0,2000.0,1900.0,1700.0,1900.0,1700.0,1800.0,1890.0,1950.0,1812.5,1950.0,1825.0,1950.0,1850.0,1895.0,1800.0,1737.5,1850.0,2000.0,1800.0,1875.0,1675.0,1597.5
15,South Carolina,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995.0,1925.0,1950.0,1950.0,1950.0,1925.0,1900.0,1875.0,1900.0,1912.5,1995.0,2000.0,2100.0,2095.0,2100.0,2000.0,2097.5,2095.0,2000.0,1995.0,2200.0,2000.0,1995.0,2100.0,1992.5,1996.0,1985.0,1975.0,1985.0,1950.0,1999.5,1995.0
16,Louisiana,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625.0,1450.0,1495.0,1500.0,1650.0,1895.0,2000.0,1800.0,1750.0,1737.5,1700.0,1725.0,1650.0,1750.0,1800.0,1897.5,1650.0,1700.0,1750.0,1600.0,1550.0,1550.0,1500.0,1500.0,1500.0,1585.0,1550.0,1590.0,1600.0,1600.0,1650.0,1600.0,1500.0,1600.0,1695.0,1525.0,1500.0,1500.0
17,Oregon,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360.0,2295.0,2050.0,1900.0,1800.0,1750.0,1700.0,1695.0,1675.0,1650.0,1897.0,2182.5,1995.0,2100.0,2200.0,1997.5,2195.0,2275.0,2195.0,2195.0,2147.5,2197.5
18,Oklahoma,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250.0,1100.0,1200.0,1175.0,1175.0,1135.0,1095.0,995.0,1000.0,1100.0,1100.0,1250.0,1100.0,1200.0,1100.0,1050.0,1050.0,1025.0,1050.0,1000.0,995.0,999.0,1050.0,1062.5,1075.0,1000.0,997.5,975.0,995.0,1050.0,1062.5,1147.5,1097.5
19,Connecticut,20,,,,,,,,,,,,,,,,,,1600.0,1550.0,1500.0,1500.0,1550.0,1597.5,1725.0,1600.0,1650.0,1700.0,1950.0,2000.0,1800.0,1650.0,1600.0,1500.0,1387.5,1350.0,1400.0,1500.0,1600.0,1600.0,1600.0,1600.0,1650.0,1500.0,1400.0,1300.0,1250.0,1275.0,1250.0,1297.5,1300.0,1337.5,1300.0,1300.0,1450.0,1400.0,1350.0,1400.0,1325.0,1300.0,1350.0,1400.0,1400.0,1400.0,1350.0,1437.5,1450.0,1500.0,1400.0,1400.0,1350.0,1375.0,1350.0,1375.0,1400.0,1500.0,1500.0,1497.5,1650.0,1450.0,1350.0,1450.0,1350.0,1425.0,1400.0,1450.0,1500.0,1500.0,1575.0,1600.0,1700.0,1675.0,1600.0,1500.0,1500.0,1500.0,1500.0,1550.0,1525.0,1537.5,1650.0,1700.0,1700.0,1650.0,1550.0,1500.0,1600.0,1600.0,1600.0,1600.0,1699.5,1650.0,1800.0,1800.0,1700.0,1750.0,1800.0,1672.5,1600.0,1700.0
20,Kansas,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1437.5,1350.0,1299.5,1295.0,1300.0,1250.0,1200.0,1160.0,1200.0,1200.0,1300.0,1325.0,1372.5,1450.0,1350.0,1325.0,1300.0,1250.0,1250.0,1250.0,1300.0,1300.0,1350.0,1350.0,1350.0,1395.0,1395.0,1395.0,1300.0,1295.0,1295.0,1250.0,1250.0,1299.0,1395.0,1395.0
21,Utah,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1635.0,1695.0,1695.0,1605.0,1597.5,1595.0,1572.5,1650.0,1695.0,1695.0,1650.0,1750.0,1795.0,1795.0,1795.0,1795.0,1750.0,1750.0,1750.0,1750.0,1795.0,1797.5,1872.5,1900.0,1850.0,1800.0,1900.0,1855.0,1850.0,1800.0,1795.0,1850.0,1795.0,1800.0,1850.0,1900.0,1850.0,1899.0,1995.0,1995.0,1950.0,1850.0,1800.0
22,Nevada,23,,,,,,1900.0,2000.0,1937.5,2195.0,2097.5,2100.0,1825.0,1800.0,1800.0,1872.5,1797.5,1850.0,1850.0,1850.0,1800.0,1895.0,1950.0,1950.0,1895.0,1800.0,1850.0,1750.0,1695.0,1745.0,1795.0,1787.5,1795.0,1700.0,1700.0,1695.0,1695.0,1695.0,1700.0,1700.0,1700.0,1700.0,1750.0,1785.0,1800.0,1795.0,1750.0,1712.5,1700.0,1750.0,1750.0,1750.0,1795.0,1795.0,1795.0,1800.0,1800.0,1795.0,1795.0,1800.0,1795.0,1795.0,1799.0,1807.5,1850.0,1972.5,1895.0,1895.0,1900.0,1850.0,1840.0,1875.0,1895.0,1895.0,1910.0,1900.0,1950.0,2000.0,1895.0,1995.0,1950.0,1920.0,1995.0,1895.0,1900.0,1995.0,2000.0,2100.0,2195.0,2100.0,2095.0,2088.0,2000.0,2000.0,2050.0,2095.0,2095.0,2095.0,2172.5,2295.0,2250.0,2200.0,2200.0,2200.0,2200.0,2222.5,2244.0,2244.0,2295.0,2200.0,2221.0,2395.0,2495.0,2495.0,2400.0,2377.5,2300.0,2295.0,2250.0,2300.0
23,Nebraska,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,1395.0,1397.5,1300.0,1400.0,1200.0,1200.0,1175.0,1100.0,1150.0,1200.0,1295.0,1400.0,1400.0,1362.5,1295.0,1300.0,1250.0,1199.0,1199.5,1200.0,1150.0
24,Idaho,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1199.0,1197.0,1250.0,1125.0,1125.0,1050.0,1100.0,1150.0,1200.0,1137.5,1300.0,1350.0,1340.0,1375.0,1350.0,1300.0,1299.0,1287.5,1300.0,1275.0,1300.0,1300.0,1350.0,1300.0,1472.5,1400.0,1350.0,1350.0,1325.0
