,RegionName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
0,California,1,,,,,,,,,,,,,,2150.0,2175.0,2200.0,2200.0,2200.0,2125.0,2100.0,2000.0,1995.0,1900.0,1895.0,1850.0,1850.0,1895.0,1850.0,1850.0,1850.0,1850.0,1800.0,1800.0,1800.0,1795.0,1750.0,1775.0,1795.0,1795.0,1795.0,1799.0,1800.0,1850.0,1799.0,1869.0,1850.0,1800.0,1895.0,1850.0,1800.0,1800.0,1825.0,1995.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2012.5,2095.0,2100.0,2150.0,2200.0,2250.0,2250.0,2280.0,2295.0,2295.0,2300.0,2300.0,2299.0,2300.0,2395.0,2395.0,2395.0,2400.0,2400.0,2400.0,2395.0,2350.0,2400,2300.0,2400.0,2500.0,2500.0,2650.0,2700.0,2700.0,2700.0,2700.0,2700.0,2695.0,2650.0,2650,2695.0,2700.0,2700,2750.0,2800.0,2800.0,2845,2800.0,2800.0,2750,2800.0,2800,2800.0,2800,2800,2895,2900.0,2900.0,2895.0,2900,2899,2800.0,2825.0,2800
1,Texas,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225.0,1026.0,1075.0,1090.0,1169.0,1180.0,1275.0,1203.5,1280.0,1275.0,1275.0,1250.0,1260.0,1250.0,1250.0,1295.0,1300.0,1350.0,1375.0,1395.0,1395.0,1385.0,1375.0,1375.0,1375.0,1375.0,1395.0,1400.0,1425.0,1450.0,1495.0,1455.0,1450.0,1425.0,1425.0,1425.0,1425.0,1425.0,1425.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1400.0,1400.0,1400,1395.0,1450.0,1480.0,1495.0,1500.0,1550.0,1550.0,1550.0,1525.0,1525.0,1500.0,1500.0,1500,1500.0,1500.0,1521,1550.0,1575.0,1595.0,1595,1595.0,1550.0,1550,1550.0,1550,1550.0,1550,1550,1595,1600.0,1600.0,1600.0,1600,1599,1595.0,1590.0,1575
2,Florida,3,,,1300.0,1350.0,1375.0,1450.0,1325.0,1325.0,1350.0,1325.0,1300.0,1375.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1395.0,1400.0,1495.0,1450.0,1450.0,1500.0,1495.0,1495.0,1450.0,1450.0,1450.0,1400.0,1400.0,1450.0,1475.0,1500.0,1500.0,1500.0,1550.0,1525.0,1595.0,1600.0,1650.0,1635.0,1600.0,1550.0,1500.0,1500.0,1600.0,1600.0,1600.0,1595.0,1600.0,1595.0,1550.0,1525.0,1500.0,1550.0,1575.0,1595.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1625.0,1625.0,1650.0,1650.0,1700.0,1699.0,1650.0,1650.0,1600.0,1600.0,1600.0,1600.0,1695,1595.0,1600.0,1650.0,1675.0,1700.0,1700.0,1750.0,1750.0,1750.0,1750.0,1750.0,1775.0,1770,1750.0,1795.0,1795,1800.0,1800.0,1800.0,1800,1800.0,1800.0,1800,1800.0,1800,1800.0,1800,1850,1866,1870.0,1850.0,1815.0,1800,1800,1795.0,1750.0,1750
3,Illinois,4,,1640.0,1600.0,1600.0,1600.0,1688.5,1695.0,1600.0,1600.0,1600.0,1600.0,1650.0,1595.0,1550.0,1500.0,1575.0,1600.0,1600.0,1650.0,1600.0,1600.0,1550.0,1500.0,1500.0,1495.0,1500.0,1500.0,1499.0,1500.0,1550.0,1535.0,1538.0,1476.5,1450.0,1450.0,1455.0,1455.0,1433.5,1475.0,1479.0,1500.0,1500.0,1510.0,1550.0,1504.5,1500.0,1500.0,1525.0,1500.0,1500.0,1500.0,1500.0,1550.0,1575.0,1595.0,1575.0,1594.0,1575.0,1549.0,1505.0,1519.5,1549.0,1550.0,1595.0,1599.0,1595.0,1600.0,1600.0,1575.0,1550.0,1550.0,1525.0,1500.0,1500.0,1500.0,1544.0,1550.0,1550.0,1550.0,1550.0,1500.0,1500.0,1500,1500.0,1480.0,1450.0,1495.0,1500.0,1544.0,1550.0,1575.0,1550.0,1500.0,1500.0,1495.0,1495,1471.0,1495.0,1500,1520.0,1550.0,1590.0,1599,1573.0,1550.0,1510,1500.0,1500,1492.0,1500,1500,1515,1550.0,1575.0,1595.0,1575,1560,1545.0,1500.0,1500
4,Pennsylvania,5,,1397.5,1395.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1395.0,1395.0,1295.0,1250.0,1295.0,1350.0,1350.0,1350.0,1350.0,1350.0,1300.0,1250.0,1200.0,1200.0,1200.0,1200.0,1250.0,1275.0,1295.0,1295.0,1300.0,1275.0,1200.0,1200.0,1200.0,1195.0,1200.0,1200.0,1250.0,1270.0,1305.0,1325.0,1300.0,1300.0,1275.0,1250.0,1225.0,1200.0,1200.0,1200.0,1200.0,1200.0,1345.0,1350.0,1350.0,1300.0,1295.0,1250.0,1250.0,1250.0,1250.0,1250.0,1300.0,1350.0,1350.0,1395.0,1375.0,1325.0,1300.0,1270.0,1275.0,1250.0,1250.0,1250.0,1300.0,1350.0,1350.0,1320.0,1300.0,1300.0,1250.0,1250.0,1250,1250.0,1250.0,1250.0,1300.0,1350.0,1350.0,1350.0,1350.0,1300.0,1290.0,1275.0,1275.0,1275,1275.0,1295.0,1300,1350.0,1350.0,1350.0,1300,1300.0,1300.0,1300,1300.0,1300,1300.0,1300,1350,1380,1395.0,1395.0,1395.0,1350,1300,1300.0,1300.0,1300
5,Ohio,6,,,,,,,,,,,,,,897.0,900.0,995.0,1000.0,1000.0,1075.0,1000.0,1000.0,950.0,900.0,900.0,950.0,950.0,950.0,850.0,850.0,877.5,865.0,885.0,875.0,882.5,900.0,850.0,825.0,810.0,850.0,850.0,895.0,879.0,875.0,895.0,975.0,995.0,900.0,1000.0,925.0,900.0,900.0,900.0,1000.0,995.0,975.0,995.0,995.0,995.0,975.0,975.0,975.0,995.0,1026.0,1050.0,1050.0,1095.0,1000.0,1000.0,1000.0,1000.0,1025.0,1000.0,1000.0,1000.0,1095.0,1100.0,1075.0,1050.0,1100.0,1059.0,975.0,975.0,975,950.0,975.0,950.0,995.0,1050.0,1050.0,1050.0,1050.0,1000.0,1000.0,1000.0,995.0,995,975.0,995.0,1025,1100.0,1095.0,1100.0,1095,1050.0,1066.0,1050,1000.0,1000,1000.0,1050,1085,1100,1100.0,1100.0,1100.0,1100,1100,1100.0,1090.0,1075
6,Michigan,7,,1250.0,1300.0,1250.0,1300.0,1300.0,1250.0,1200.0,1200.0,1150.0,1150.0,1125.0,1000.0,995.0,1000.0,1000.0,1100.0,1100.0,1100.0,1100.0,1000.0,825.0,800.0,800.0,800.0,825.0,850.0,850.0,850.0,825.0,825.0,850.0,850.0,850.0,850.0,800.0,800.0,800.0,825.0,825.0,850.0,850.0,850.0,850.0,875.0,875.0,850.0,855.0,850.0,850.0,850.0,850.0,895.0,895.0,899.0,900.0,900.0,900.0,900.0,900.0,895.0,895.0,900.0,900.0,900.0,900.0,925.0,900.0,950.0,950.0,950.0,947.0,950.0,949.0,950.0,995.0,995.0,950.0,1000.0,1000.0,980.0,1000.0,1000,995.0,990.0,950.0,1000.0,1000.0,1010.0,1050.0,1095.0,1025.0,1050.0,1050.0,1000.0,1000,1000.0,1000.0,1050,1100.0,1100.0,1100.0,1100,1100.0,1100.0,1100,1100.0,1050,1050.0,1075,1100,1100,1150.0,1147.0,1150.0,1100,1150,1175.0,1122.5,1100
7,Georgia,8,1099.5,1162.5,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1150.0,1100.0,1100.0,1150.0,1175.0,1150.0,1125.0,1100.0,1100.0,1100.0,1075.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,1095.0,1050.0,1050.0,1050.0,1025.0,1000.0,1000.0,1000.0,975.0,1000.0,1000.0,1075.0,1075.0,1075.0,1090.0,1079.0,1075.0,1050.0,1095.0,1075.0,1050.0,1050.0,1050.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1137.0,1150.0,1175.0,1195.0,1195.0,1150.0,1150.0,1125.0,1147.0,1150.0,1150.0,1150.0,1200.0,1200.0,1220.0,1200.0,1245.0,1200.0,1200.0,1200.0,1200,1200.0,1239.0,1250.0,1275.0,1300.0,1300.0,1314.0,1333.0,1300.0,1300.0,1300.0,1300.0,1300,1300.0,1300.0,1345,1375.0,1395.0,1395.0,1400,1387.0,1350.0,1350,1365.0,1375,1375.0,1395,1400,1440,1474.0,1475.0,1475.0,1451,1450,1445.0,1445.0,1445
8,North Carolina,9,,1050.0,1000.0,1050.0,1100.0,1150.0,1150.0,1175.0,1150.0,1150.0,1100.0,1150.0,1050.0,1000.0,1000.0,1050.0,1095.0,1095.0,1095.0,1092.5,1050.0,1025.0,1000.0,1000.0,1000.0,1000.0,1050.0,1075.0,1095.0,1095.0,1095.0,1050.0,1000.0,1000.0,1000.0,1000.0,1000.0,995.0,1000.0,1050.0,1095.0,1100.0,1100.0,1100.0,1095.0,1075.0,1050.0,1050.0,1050.0,1050.0,1050.0,1075.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1095.0,1095.0,1100.0,1100.0,1135.0,1150.0,1150.0,1150.0,1150.0,1125.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1150.0,1195.0,1195.0,1195.0,1200.0,1200.0,1175.0,1175.0,1175,1150.0,1200.0,1200.0,1245.0,1250.0,1290.0,1295.0,1295.0,1275.0,1275.0,1275.0,1295.0,1295,1295.0,1295.0,1300,1350.0,1350.0,1350.0,1350,1347.0,1345.0,1349,1350.0,1350,1350.0,1350,1395,1425,1435.0,1445.0,1425.0,1400,1400,1400.0,1400.0,1400
9,New Jersey,10,,1650.0,1650.0,1650.0,1700.0,1697.5,1650.0,1650.0,1600.0,1700.0,1650.0,1700.0,1695.0,1700.0,1700.0,1800.0,1800.0,1850.0,1800.0,1800.0,1700.0,1650.0,1700.0,1700.0,1700.0,1700.0,1750.0,1800.0,1800.0,1850.0,1800.0,1800.0,1700.0,1695.0,1700.0,1700.0,1700.0,1700.0,1750.0,1800.0,1900.0,1850.0,1800.0,1850.0,1800.0,1800.0,1750.0,1800.0,1800.0,1750.0,1750.0,1750.0,1900.0,1950.0,1900.0,1900.0,1850.0,1800.0,1800.0,1800.0,1800.0,1850.0,1900.0,1920.0,1995.0,1950.0,2000.0,1980.0,1875.0,1850.0,1850.0,1850.0,1850.0,1850.0,1900.0,1996.5,1975.0,2000.0,1960.0,1950.0,1900.0,1875.0,1850,1800.0,1827.5,1850.0,1900.0,2000.0,2000.0,2000.0,2000.0,1999.0,1950.0,1900.0,1900.0,1900,1877.5,1900.0,1900,1950.0,2000.0,2000.0,2000,2000.0,1995.0,1950,1950.0,1950,1950.0,2000,2000,2100,2100.0,2100.0,2100.0,2100,2000,2000.0,2000.0,2000
