City,HurricaneName,SizeRank,before,after,percent,increase
Jacksonville,charley,12,46528.30349,52803.3279,13.486467245358828,0
Orlando,charley,16,75863.27537,88560.22345,16.73661994960606,0
Miami,charley,20,86752.55847,106338.7075,22.57702755449352,0
Tampa,charley,50,51585.4106,61309.89329,18.851226687725532,0
Saint Petersburg,charley,84,47796.13229,57880.05754,21.097785044229987,0
Tallahassee,charley,89,74334.75351,84913.00687,14.230562234361816,0
Lakeland,charley,105,46030.0073,52085.06753,13.154593242917004,0
Fort Myers,charley,106,82399.71025,97230.98766,17.999186362430194,0
Pensacola,charley,110,45314.65159,52157.0219,15.099686458827296,0
Sarasota,charley,113,100024.0493,120608.9664,20.579967761813066,0
Hialeah,charley,116,94034.27555,114408.6528,21.66696891195435,0
Boca Raton,charley,128,103564.1091,123847.2619,19.58511783306597,0
Bradenton,charley,130,71873.66928,85272.80632,18.642622777196273,0
Gainesville,charley,132,65761.59517,75364.29487,14.60229131482608,0
Port Saint Lucie,charley,133,106602.7223,130369.7353,22.294940023309337,0
West Palm Beach,charley,158,73059.62823,90522.9295,23.902806095623074,1
Cape Coral,charley,171,70705.75451,85487.11009,20.90544918505814,0
Lake Worth,charley,172,55695.82864,71051.91471,27.571339622679503,1
Homestead,charley,188,68470.91355,87380.2216,27.616555803935245,1
Fort Lauderdale,charley,190,92573.79858,113434.3564,22.533976287008272,0
Boynton Beach,charley,210,93772.58051,114686.5871,22.302901846419505,0
Pembroke Pines,charley,219,87903.16429,104492.96,18.87280832720522,0
Clearwater,charley,233,60910.27236,72107.21599,18.382685212475046,0
Hollywood,charley,240,68544.57208,83661.67039,22.05440613496934,0
Saint Augustine,charley,275,101298.0792,120754.4988,19.207096278287583,0
Miramar,charley,287,97361.18489,117050.831,20.223301649672436,0
Coral Springs,charley,292,77551.02681,92591.39426,19.394156426643974,0
Melbourne,charley,299,83822.22432,109143.7253,30.20857676519364,1
Riverview,charley,312,104122.7598,120548.1336,15.775008107305277,0
New Port Richey,charley,338,57856.99803,68083.75785,17.67592541648499,0
Spring Hill,charley,339,84162.06022,103352.2852,22.801515231253447,0
Largo,charley,344,65266.77898,77012.55722,17.996564904174775,0
Vero Beach,charley,350,71026.65736,87182.36274,22.745974512237694,0
Palm Bay,charley,354,79727.16289,105387.7293,32.185475413698114,1
Delray Beach,charley,357,54580.90559,68179.51378,24.914588798049277,1
Pompano Beach,charley,390,67527.1636,83003.431,22.918580575476735,0
Winter Haven,charley,395,53672.14287,60568.56384,12.849162715011978,0
Miami Gardens,charley,397,57085.88904,68888.70563,20.675541343903355,0
Davie,charley,414,95137.67239,113833.5759,19.65141992686078,0
Apopka,charley,432,94077.53575,109561.3617,16.45857943297585,0
Clermont,charley,463,123633.47,145750.3474,17.889069521384457,0
Sunrise,charley,498,49683.75956,58698.04387,18.143321660499563,0
Plantation,charley,518,92056.58471,108680.4563,18.058318850703767,0
Port Charlotte,charley,523,54135.60231,65880.73867,21.69577109855195,0
Fort Pierce,charley,529,44457.56749,55432.84682,24.687089172093607,1
Palm Coast,charley,536,100168.5162,122248.0605,22.042399286333854,0
Deltona,charley,548,78076.00864,93220.0631,19.3965530817893,0
Sanford,charley,556,68123.52763,80297.00956,17.869717487500008,0
Town 'n' Country,charley,567,72422.99472,85464.90682,18.007971294783268,0
Saint Cloud,charley,568,97230.53183,119436.2369,22.838201799435733,0
Brandon,charley,574,95982.74098,111745.1061,16.422082719313483,0
Deerfield Beach,charley,603,48100.27704,59455.62962,23.607665649320342,1
Oviedo,charley,624,141803.4751,164162.1472,15.76736542192117,0
Wesley Chapel,charley,633,129577.8825,151270.4878,16.740978384177556,0
Orange Park,charley,652,85060.9335,95987.60279,12.84569642067237,0
Plant City,charley,662,66054.72531,75656.64845,14.536315297561867,0
The Villages,charley,664,134025.5327,154683.2719,15.413286396883674,0
Venice,charley,672,118304.0699,145841.8335,23.27710587072542,0
Winter Park,charley,679,86927.62541,101602.3973,16.88159755979236,0
Jupiter,charley,690,152353.7069,182366.8748,19.69966370408018,0
Milton,charley,704,28985.85488,33398.59577,15.223773486304024,0
Land O Lakes,charley,709,144202.011,169143.3142,17.296085558751322,0
Palm Beach Gardens,charley,717,139966.5095,166055.7573,18.63963593376601,0
North Port,charley,726,88458.65764,112686.5552,27.3889500546122,1
Lauderhill,charley,728,42048.8498,49674.79092,18.13590896367395,0
Palm Harbor,charley,734,86198.21586,99807.09725,15.787892190370922,0
Daytona Beach,charley,744,47971.98643,59233.77079,23.475751575209486,0
Deland,charley,746,64347.95251,76307.30813,18.585448570630835,0
Winter Garden,charley,771,128731.8675,151597.6832,17.762358415254102,0
Lutz,charley,772,117805.6857,136720.8067,16.05620381359911,0
Davenport,charley,782,101596.3055,118797.2101,16.93063986465531,0
Tamarac,charley,785,62045.28405,73667.19754,18.73134061346922,0
Cocoa,charley,812,63909.82575,80738.78868,26.332356147912034,1
Valrico,charley,822,122023.1291,142521.6931,16.79891685387045,0
Weston,charley,838,154538.4485,182899.4978,18.35209915414675,0
Port Orange,charley,854,94325.21,113185.3648,19.99481877644374,0
Fountainbleau,charley,881,89551.65079,108941.598,21.652249890367433,0
Poinciana,charley,888,80261.53989,99658.15638,24.16676345430631,1
Stuart,charley,912,63390.93311,79059.5123,24.717382157493855,1
Panama City,charley,916,42608.78806,52412.89888,23.00959794067422,0
Altamonte Springs,charley,924,57919.25912,67689.86327,16.8693527825637,0
Wellington,charley,936,177990.6808,217785.2876,22.357691212336782,0
North Miami,charley,965,50152.12311,63071.0993,25.759579832073037,1
Ormond Beach,charley,1001,101795.8191,126112.5308,23.88773125948549,1
The Hammocks,charley,1010,118426.1559,142631.6765,20.439336577334604,0
Punta Gorda,charley,1014,77466.22828,92219.69639,19.045032187024663,0
Margate,charley,1019,50706.0751,60552.4466,19.418524270674624,0
Titusville,charley,1023,54002.58144,67217.98571,24.47180100951854,1
Leesburg,charley,1024,52232.12501,60122.88543,15.107102034407538,0
Bonita Springs,charley,1040,145916.8856,169707.9655,16.304542001546103,0
Coconut Creek,charley,1045,68248.66602,81826.00097,19.89391989877312,0
Middleburg,charley,1068,88894.34267,101969.4428,14.708585200453461,0
Tamiami,charley,1081,116633.0009,139594.9429,19.687345625006547,0
North Fort Myers,charley,1086,60333.66455,72422.94037,20.037363734107867,0
Zephyrhills,charley,1091,51175.29585,60166.38029,17.569188982031058,0
Longwood,charley,1094,116343.5084,134718.2114,15.79349226501407,0
Kendale Lakes,charley,1112,94028.60903,113932.2729,21.167668090942072,0
Seminole,charley,1116,78638.91701,93255.43126,18.586871241043802,0
Pine Hills,charley,1127,34725.6861,40495.93274,16.616652651248835,0
Pinellas Park,charley,1183,56531.77737,68046.05948,20.36780488014575,0
Windermere,charley,1197,204374.6994,236290.5551,15.61634380072389,0
Port Richey,charley,1219,51108.37124,61742.19362,20.80642000909125,0
Coral Gables,charley,1233,233690.9093,277270.4599,18.648372215478396,0
