City,HurricaneName,DATE,AWND,WSF2,SizeRank,before,after,percent,increase
Apalachicola,charley,8/14/2004,5.82,13.0,12877,33025.67901,41196.08834,24.73956501401847,1
Apalachicola,dennis,7/10/2005,19.46,30.0,12877,40369.46137,50891.84431,26.065205189533604,0
Apalachicola,dennis,7/11/2005,17.0,32.0,12877,40369.46137,50891.84431,26.065205189533604,0
Apalachicola,ian,9/28/2022,38.0273,57.93571,12877,65287.07867,76710.34737,17.49698245458346,1
Apalachicola,irma,9/11/2017,20.8,36.9,12877,52379.75722,63594.00344,21.40950400533376,1
Apalachicola,irma,9/10/2017,19.01,32.0,12877,52379.75722,63594.00344,21.40950400533376,1
Apalachicola,irma,9/9/2017,12.97,19.9,12877,52379.75722,63594.00344,21.40950400533376,1
Apalachicola,matthew,10/7/2016,10.74,21.9,12877,48548.85811,52980.36723,9.12793687126332,0
Apalachicola,matthew,10/8/2016,8.05,15.0,12877,48548.85811,52980.36723,9.12793687126332,0
Apalachicola,michael,10/10/2018,29.75,63.1,12877,65287.07867,76710.34737,17.49698245458346,1
Apalachicola,michael,10/9/2018,13.2,21.0,12877,65287.07867,76710.34737,17.49698245458346,1
Brooksville,charley,8/13/2004,7.38,13.0,1410,48299.30814,58061.52084,20.21191001681292,0
Brooksville,charley,8/14/2004,4.7,21.9,1410,48299.30814,58061.52084,20.21191001681292,0
Brooksville,dennis,7/10/2005,13.42,28.0,1410,57099.70044,74016.75109,29.62721436301813,0
Brooksville,dennis,7/11/2005,6.49,15.0,1410,57099.70044,74016.75109,29.62721436301813,0
Brooksville,ian,9/28/2022,42.031351,74.04139,1410,73248.75858,81686.8292,11.519745567816283,0
Brooksville,irma,9/10/2017,20.8,42.9,1410,60059.47846,71868.1281,19.66159204639887,1
Brooksville,irma,9/9/2017,13.87,25.9,1410,60059.47846,71868.1281,19.66159204639887,1
Brooksville,matthew,10/7/2016,19.69,30.0,1410,50528.88696,60596.572,19.924612722955565,1
Brooksville,matthew,10/8/2016,8.05,19.9,1410,50528.88696,60596.572,19.924612722955565,1
Brooksville,michael,10/11/2018,7.83,17.0,1410,73248.75858,81686.8292,11.519745567816283,0
Brooksville,michael,10/10/2018,13.2,25.1,1410,73248.75858,81686.8292,11.519745567816283,0
Brooksville,michael,10/9/2018,10.07,16.1,1410,73248.75858,81686.8292,11.519745567816283,0
Clearwater,charley,8/13/2004,9.62,25.1,233,60910.27236,72107.21599,18.38268521247505,0
Clearwater,charley,8/14/2004,7.38,25.1,233,60910.27236,72107.21599,18.38268521247505,0
Clearwater,dennis,7/10/2005,20.13,36.0,233,70830.97375,89780.02572,26.75249395396036,0
Clearwater,dennis,7/11/2005,7.83,15.0,233,70830.97375,89780.02572,26.75249395396036,0
Clearwater,irma,9/11/2017,20.8,53.0,233,86578.44189,99860.1783,15.340696968045192,0
Clearwater,irma,9/10/2017,25.5,49.0,233,86578.44189,99860.1783,15.340696968045192,0
Clearwater,irma,9/9/2017,15.66,25.1,233,86578.44189,99860.1783,15.340696968045192,0
Clearwater,matthew,10/7/2016,20.58,31.1,233,75030.31664,87159.19859,16.165308228932453,1
Clearwater,matthew,10/8/2016,8.28,17.0,233,75030.31664,87159.19859,16.165308228932453,1
Clearwater,michael,10/11/2018,8.05,16.1,233,100766.1453,112524.3279,11.66878276924621,0
Clearwater,michael,10/10/2018,18.34,30.0,233,100766.1453,112524.3279,11.66878276924621,0
Clearwater,michael,10/9/2018,14.09,28.0,233,100766.1453,112524.3279,11.66878276924621,0
Daytona Beach,charley,8/13/2004,8.28,0.0,744,47971.98643,59233.77079,23.47575157520949,0
Daytona Beach,charley,8/14/2004,8.28,8.1,744,47971.98643,59233.77079,23.47575157520949,0
Daytona Beach,dennis,7/10/2005,8.95,21.9,744,58117.18472,76823.1666,32.186662120890155,1
Daytona Beach,dennis,7/11/2005,5.14,17.9,744,58117.18472,76823.1666,32.186662120890155,1
Daytona Beach,ian,9/29/2022,74.063759,138.6878,744,75898.37554,84848.32682,11.792019547616274,0
Daytona Beach,irma,9/11/2017,19.91,38.9,744,63673.36506,75354.82088,18.34590618697859,1
Daytona Beach,irma,9/10/2017,24.61,53.9,744,63673.36506,75354.82088,18.34590618697859,1
Daytona Beach,irma,9/9/2017,17.22,31.1,744,63673.36506,75354.82088,18.34590618697859,1
Daytona Beach,matthew,10/7/2016,27.51,52.1,744,55949.49283,64257.66956,14.849422773579052,0
Daytona Beach,matthew,10/8/2016,12.08,23.9,744,55949.49283,64257.66956,14.849422773579052,0
Daytona Beach,michael,10/11/2018,10.07,19.9,744,75898.37554,84848.32682,11.792019547616274,0
Daytona Beach,michael,10/10/2018,8.95,29.1,744,75898.37554,84848.32682,11.792019547616274,0
Daytona Beach,michael,10/9/2018,10.51,23.0,744,75898.37554,84848.32682,11.792019547616274,0
Fort Lauderdale,charley,8/13/2004,13.87,36.9,190,92573.79858,113434.3564,22.533976287008272,0
Fort Lauderdale,charley,8/14/2004,8.95,17.0,190,92573.79858,113434.3564,22.533976287008272,0
Fort Lauderdale,charley,8/13/2004,13.65,36.0,190,92573.79858,113434.3564,22.533976287008272,0
Fort Lauderdale,charley,8/14/2004,10.29,21.9,190,92573.79858,113434.3564,22.533976287008272,0
Fort Lauderdale,dennis,7/10/2005,12.97,23.9,190,111605.986,141853.4551,27.102013237892088,0
Fort Lauderdale,dennis,7/11/2005,7.83,15.0,190,111605.986,141853.4551,27.102013237892088,0
Fort Lauderdale,dennis,7/10/2005,12.3,31.1,190,111605.986,141853.4551,27.102013237892088,0
Fort Lauderdale,dennis,7/11/2005,7.83,15.0,190,111605.986,141853.4551,27.102013237892088,0
Fort Lauderdale,irma,9/11/2017,13.2,19.9,190,152075.3101,174614.7923,14.821263349835508,0
Fort Lauderdale,irma,9/10/2017,37.13,53.0,190,152075.3101,174614.7923,14.821263349835508,0
Fort Lauderdale,irma,9/9/2017,20.13,38.9,190,152075.3101,174614.7923,14.821263349835508,0
Fort Lauderdale,irma,9/9/2017,21.92,53.0,190,152075.3101,174614.7923,14.821263349835508,0
Fort Lauderdale,matthew,10/7/2016,15.66,25.9,190,138330.7008,154191.0628,11.465540121083537,0
Fort Lauderdale,matthew,10/8/2016,8.05,14.1,190,138330.7008,154191.0628,11.465540121083537,0
Fort Lauderdale,matthew,10/7/2016,16.55,29.1,190,138330.7008,154191.0628,11.465540121083537,0
Fort Lauderdale,matthew,10/8/2016,7.61,15.0,190,138330.7008,154191.0628,11.465540121083537,0
Fort Lauderdale,michael,10/11/2018,4.92,17.0,190,175113.7441,191228.3984,9.202392640749888,0
Fort Lauderdale,michael,10/10/2018,10.07,21.0,190,175113.7441,191228.3984,9.202392640749888,0
Fort Lauderdale,michael,10/9/2018,12.75,19.9,190,175113.7441,191228.3984,9.202392640749888,0
Fort Lauderdale,michael,10/11/2018,5.14,23.0,190,175113.7441,191228.3984,9.202392640749888,0
Fort Lauderdale,michael,10/10/2018,11.41,23.9,190,175113.7441,191228.3984,9.202392640749888,0
Fort Lauderdale,michael,10/9/2018,14.99,25.1,190,175113.7441,191228.3984,9.202392640749888,0
Fort Myers,charley,8/13/2004,15.88,50.1,106,82399.71025,97230.98766,17.999186362430194,0
Fort Myers,charley,8/14/2004,14.09,46.1,106,82399.71025,97230.98766,17.999186362430194,0
Fort Myers,charley,8/13/2004,17.22,61.1,106,82399.71025,97230.98766,17.999186362430194,0
Fort Myers,charley,8/14/2004,7.83,17.9,106,82399.71025,97230.98766,17.999186362430194,0
Fort Myers,dennis,7/10/2005,12.97,21.9,106,95618.23398,127493.3776,33.33584222719191,1
Fort Myers,dennis,7/11/2005,5.37,21.0,106,95618.23398,127493.3776,33.33584222719191,1
Fort Myers,dennis,7/10/2005,14.32,23.9,106,95618.23398,127493.3776,33.33584222719191,1
Fort Myers,dennis,7/11/2005,6.71,21.0,106,95618.23398,127493.3776,33.33584222719191,1
Fort Myers,ian,9/28/2022,49.547335,74.04139,106,131927.836,138703.6276,5.135983281041612,0
Fort Myers,ian,9/28/2022,73.549272,174.70189,106,131927.836,138703.6276,5.135983281041612,0
Fort Myers,irma,9/9/2017,16.78,32.0,106,125410.5441,131564.8631,4.907337771449784,0
Fort Myers,irma,9/11/2017,19.24,45.0,106,125410.5441,131564.8631,4.907337771449784,0
Fort Myers,irma,9/10/2017,35.34,74.0,106,125410.5441,131564.8631,4.907337771449784,0
Fort Myers,irma,9/9/2017,16.33,31.1,106,125410.5441,131564.8631,4.907337771449784,0
Fort Myers,matthew,10/7/2016,15.21,23.9,106,113632.389,125919.4314,10.812975515282009,0
Fort Myers,matthew,10/8/2016,8.72,16.1,106,113632.389,125919.4314,10.812975515282009,0
Fort Myers,matthew,10/7/2016,10.96,21.9,106,113632.389,125919.4314,10.812975515282009,0
Fort Myers,matthew,10/8/2016,6.26,13.0,106,113632.389,125919.4314,10.812975515282009,0
Fort Myers,michael,10/11/2018,5.14,23.9,106,131927.836,138703.6276,5.135983281041612,0
Fort Myers,michael,10/10/2018,11.41,21.9,106,131927.836,138703.6276,5.135983281041612,0
Fort Myers,michael,10/9/2018,11.63,19.9,106,131927.836,138703.6276,5.135983281041612,0
Fort Myers,michael,10/11/2018,6.71,25.1,106,131927.836,138703.6276,5.135983281041612,0
Fort Myers,michael,10/10/2018,14.32,25.9,106,131927.836,138703.6276,5.135983281041612,0
Fort Myers,michael,10/9/2018,11.63,23.0,106,131927.836,138703.6276,5.135983281041612,0
Fort Pierce,charley,8/13/2004,11.41,23.9,529,44457.56749,55432.84682,24.687089172093607,1
Fort Pierce,charley,8/14/2004,6.04,6.9,529,44457.56749,55432.84682,24.687089172093607,1
Fort Pierce,dennis,7/10/2005,12.97,25.9,529,54741.09049,71316.17804,30.279059846328604,0
Fort Pierce,dennis,7/11/2005,5.37,14.1,529,54741.09049,71316.17804,30.279059846328604,0
Fort Pierce,ian,9/28/2022,50.039453,100.6605,529,79706.02938,93971.25035,17.897292188512218,1
Fort Pierce,irma,9/11/2017,17.45,44.1,529,62416.31962,78209.74185,25.30335387628228,1
Fort Pierce,irma,9/10/2017,31.32,70.9,529,62416.31962,78209.74185,25.30335387628228,1
Fort Pierce,irma,9/9/2017,10.74,31.1,529,62416.31962,78209.74185,25.30335387628228,1
Fort Pierce,matthew,10/7/2016,22.59,42.9,529,51119.19857,63407.194,24.0379265985038,1
Fort Pierce,matthew,10/8/2016,9.62,19.9,529,51119.19857,63407.194,24.0379265985038,1
Fort Pierce,michael,10/11/2018,7.83,17.0,529,79706.02938,93971.25035,17.897292188512218,1
Fort Pierce,michael,10/10/2018,10.51,19.9,529,79706.02938,93971.25035,17.897292188512218,1
Fort Pierce,michael,10/9/2018,15.43,21.9,529,79706.02938,93971.25035,17.897292188512218,1
Gainesville,charley,8/13/2004,5.37,19.9,132,65761.59517,75364.29487,14.60229131482608,0
Gainesville,charley,8/14/2004,4.92,12.1,132,65761.59517,75364.29487,14.60229131482608,0
Gainesville,dennis,7/10/2005,12.75,23.0,132,75077.85429,90372.68703,20.37196305707047,0
Gainesville,dennis,7/11/2005,6.71,23.0,132,75077.85429,90372.68703,20.37196305707047,0
Gainesville,ian,9/29/2022,42.523469,69.56759,132,99832.86763,108251.2294,8.432455132111489,0
Gainesville,irma,9/11/2017,20.58,45.0,132,86985.70005,98462.15331,13.193494164446854,0
Gainesville,irma,9/10/2017,17.9,36.0,132,86985.70005,98462.15331,13.193494164446854,0
Gainesville,irma,9/9/2017,10.29,29.1,132,86985.70005,98462.15331,13.193494164446854,0
Gainesville,matthew,10/7/2016,19.24,33.1,132,77737.58487,88006.16695,13.209288785047884,0
Gainesville,matthew,10/8/2016,9.17,21.9,132,77737.58487,88006.16695,13.209288785047884,0
Gainesville,michael,10/11/2018,11.18,21.0,132,99832.86763,108251.2294,8.432455132111489,0
