NAME,LATITUDE,LONGITUDE,DATE,AWND,WSF2
"FORT PIERCE, FL US",27.4419,-80.3508,8/13/2004,,
"FORT PIERCE, FL US",27.4419,-80.3508,8/14/2004,,
"FORT PIERCE ARC, FL US",27.4272,-80.4053,8/13/2004,,
"FORT PIERCE ARC, FL US",27.4272,-80.4053,8/14/2004,,
"BIG CYPRESS, FL US",26.3283,-80.9958,8/13/2004,,
"BIG CYPRESS, FL US",26.3283,-80.9958,8/14/2004,,
"HOMESTEAD GEN AVIATION AIRPORT, FL US",25.5011,-80.55,8/13/2004,,
"HOMESTEAD GEN AVIATION AIRPORT, FL US",25.5011,-80.55,8/14/2004,,
"LOXAHATCHEE NWR, FL US",26.4985,-80.216,8/13/2004,,
"LOXAHATCHEE NWR, FL US",26.4985,-80.216,8/14/2004,,
"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",30.49529,-81.69374,8/13/2004,5.59,21
"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",30.49529,-81.69374,8/14/2004,6.49,19.9
"BRISTOL 2 S, FL US",30.3794,-84.9788,8/13/2004,,
"BRISTOL 2 S, FL US",30.3794,-84.9788,8/14/2004,,
"BLOXHAM FLORIDA, FL US",30.5872,-84.9886,8/13/2004,,
"BLOXHAM FLORIDA, FL US",30.5872,-84.9886,8/14/2004,,
"JOHN PENNEKAMP STATE PARK, FL US",25.1936,-80.3493,8/13/2004,,
"JOHN PENNEKAMP STATE PARK, FL US",25.1936,-80.3493,8/14/2004,,
"CRESTVIEW FAA AP, FL US",30.77715,-86.51938,8/13/2004,7.16,13
"CRESTVIEW FAA AP, FL US",30.77715,-86.51938,8/14/2004,5.59,13
"CROSS CITY 1 E, FL US",29.6333,-83.1053,8/13/2004,,
"CROSS CITY 1 E, FL US",29.6333,-83.1053,8/14/2004,,
"OCEAN CITY 1.3 NNW, FL US",30.45525,-86.61544,8/13/2004,,
"OCEAN CITY 1.3 NNW, FL US",30.45525,-86.61544,8/14/2004,,
"LISBON, FL US",28.8728,-81.7844,8/13/2004,,
"LISBON, FL US",28.8728,-81.7844,8/14/2004,,
"WEEKI WACHEE, FL US",28.5175,-82.5756,8/13/2004,,
"WEEKI WACHEE, FL US",28.5175,-82.5756,8/14/2004,,
"PANAMA CITY 5 N, FL US",30.2491,-85.6605,8/13/2004,,
"PANAMA CITY 5 N, FL US",30.2491,-85.6605,8/14/2004,,
"MARIANNA MUNICIPAL AIRPORT, FL US",30.83696,-85.18352,8/13/2004,6.93,13
"MARIANNA MUNICIPAL AIRPORT, FL US",30.83696,-85.18352,8/14/2004,4.92,10.1
"PENSACOLA REGIONAL AIRPORT, FL US",30.47612,-87.18575,8/13/2004,9.84,16.1
"PENSACOLA REGIONAL AIRPORT, FL US",30.47612,-87.18575,8/14/2004,8.5,14.1
"CANAL POINT USDA, FL US",26.8639,-80.6256,8/13/2004,,
"CANAL POINT USDA, FL US",26.8639,-80.6256,8/14/2004,,
"LA BELLE, FL US",26.7459,-81.4265,8/14/2004,,
"NAVAL LIVE OAKS FLORIDA, FL US",30.3664,-87.1375,8/13/2004,,
"NAVAL LIVE OAKS FLORIDA, FL US",30.3664,-87.1375,8/14/2004,,
"MAYPORT PILOT STATION, FL US",30.4,-81.41667,8/13/2004,,31.1
"MAYPORT PILOT STATION, FL US",30.4,-81.41667,8/14/2004,,42.9
"PALM SHORES 1.4 W, FL US",28.18825,-80.680461,8/13/2004,,
"PALM SHORES 1.4 W, FL US",28.18825,-80.680461,8/14/2004,,
"OCHOPEE FLORIDA, FL US",25.9167,-81.2833,8/13/2004,,
"OCHOPEE FLORIDA, FL US",25.9167,-81.2833,8/14/2004,,
"WHITE SPRINGS 7 N, FL US",30.4392,-82.7847,8/13/2004,,
"WHITE SPRINGS 7 N, FL US",30.4392,-82.7847,8/14/2004,,
"WAUCHULA, FL US",27.5477,-81.7994,8/13/2004,,
"WAUCHULA, FL US",27.5477,-81.7994,8/14/2004,,
"NAPLES MUNICIPAL AIRPORT, FL US",26.15498,-81.77514,8/13/2004,9.17,34.9
"NAPLES MUNICIPAL AIRPORT, FL US",26.15498,-81.77514,8/14/2004,5.82,14.1
"MARATHON AIRPORT, FL US",24.72624,-81.0477,8/13/2004,12.97,28
"MARATHON AIRPORT, FL US",24.72624,-81.0477,8/14/2004,7.16,14.1
"FORT PIERCE ST LUCIE CO INTERNATIONAL AIRPORT, FL US",27.49816,-80.37626,8/13/2004,11.41,23.9
"FORT PIERCE ST LUCIE CO INTERNATIONAL AIRPORT, FL US",27.49816,-80.37626,8/14/2004,6.04,6.9
"FORT MYERS SW FLORIDA REGIONAL AIRPORT, FL US",26.53805,-81.75674,8/13/2004,17.22,61.1
"FORT MYERS SW FLORIDA REGIONAL AIRPORT, FL US",26.53805,-81.75674,8/14/2004,7.83,17.9
"PANACEA, FL US",29.99889,-84.485,8/13/2004,,
"PANACEA, FL US",29.99889,-84.485,8/14/2004,,
"DELAND 1 SSE, FL US",29.00982,-81.29804,8/13/2004,,
"DELAND 1 SSE, FL US",29.00982,-81.29804,8/14/2004,,
"DE FUNIAK SPRINGS 1 E, FL US",30.72444,-86.09389,8/13/2004,,
"DE FUNIAK SPRINGS 1 E, FL US",30.72444,-86.09389,8/14/2004,,
"MOUNTAIN LAKE, FL US",27.93779,-81.59928,8/13/2004,,
"MOUNTAIN LAKE, FL US",27.93779,-81.59928,8/14/2004,,
"MELBOURNE WEATHER FORECAST OFFICE, FL US",28.1136,-80.654,8/13/2004,,
"MELBOURNE WEATHER FORECAST OFFICE, FL US",28.1136,-80.654,8/14/2004,,
"OASIS FLORIDA, FL US",25.85,-81.03,8/13/2004,,
"OASIS FLORIDA, FL US",25.85,-81.03,8/14/2004,,
"DAYTONA BEACH, FL US",29.1966,-81.0084,8/13/2004,,
"DAYTONA BEACH, FL US",29.1966,-81.0084,8/14/2004,,
"NAPLES, FL US",26.1653,-81.6843,8/13/2004,,
"NAPLES, FL US",26.1653,-81.6843,8/14/2004,,
"PALATKA, FL US",29.64389,-81.66056,8/13/2004,,
"PALATKA, FL US",29.64389,-81.66056,8/14/2004,,
"IMMOKALEE, FL US",26.46222,-81.44056,8/13/2004,,
"IMMOKALEE, FL US",26.46222,-81.44056,8/14/2004,,
"JACKSONVILLE CRAIG MUNICIPAL AIRPORT, FL US",30.33708,-81.51277,8/13/2004,4.7,23
"JACKSONVILLE CRAIG MUNICIPAL AIRPORT, FL US",30.33708,-81.51277,8/14/2004,5.37,23.9
"PENSACOLA 7 NNE, FL US",30.5301,-87.19847,8/13/2004,,
"PENSACOLA 7 NNE, FL US",30.5301,-87.19847,8/14/2004,,
"PERRY FOLEY AIRPORT, FL US",30.07194,-83.57361,8/13/2004,4.47,14.1
"PERRY FOLEY AIRPORT, FL US",30.07194,-83.57361,8/14/2004,3.36,10.1
"MIAMI NWSFO, FL US",25.7553,-80.3836,8/13/2004,,
"MIAMI NWSFO, FL US",25.7553,-80.3836,8/14/2004,,
"JUNO BEACH, FL US",26.86,-80.0552,8/13/2004,,
"JUNO BEACH, FL US",26.86,-80.0552,8/14/2004,,
"MILTON EXPERIMENT ST, FL US",30.77944,-87.14139,8/13/2004,,
"MILTON EXPERIMENT ST, FL US",30.77944,-87.14139,8/14/2004,,
"PARRISH, FL US",27.609,-82.3476,8/13/2004,,
"PARRISH, FL US",27.609,-82.3476,8/14/2004,,
"PALM BEACH GARDENS, FL US",26.8261,-80.1488,8/13/2004,,
"PALM BEACH GARDENS, FL US",26.8261,-80.1488,8/14/2004,,
"TARPON SPGS SEWAGE PLANT, FL US",28.15225,-82.7538,8/13/2004,,
"TARPON SPGS SEWAGE PLANT, FL US",28.15225,-82.7538,8/14/2004,,
"CURRY HAMMOCK STATE PARK, FL US",24.74257,-80.98193,8/13/2004,,
"CURRY HAMMOCK STATE PARK, FL US",24.74257,-80.98193,8/14/2004,,
"DESOTO CITY, FL US",27.3697,-81.5136,8/13/2004,,
"DESOTO CITY, FL US",27.3697,-81.5136,8/14/2004,,
"SAINT LEO, FL US",28.3378,-82.26,8/13/2004,,
"SAINT LEO, FL US",28.3378,-82.26,8/14/2004,,
"FORT DRUM, FL US",27.51389,-80.76944,8/13/2004,,
"FORT DRUM, FL US",27.51389,-80.76944,8/14/2004,,
"OASIS RANGER STATION, FL US",25.8604,-81.033,8/13/2004,,
"OASIS RANGER STATION, FL US",25.8604,-81.033,8/14/2004,,
"PALM COAST 6 NE, FL US",29.6319,-81.2061,8/13/2004,,
"PALM COAST 6 NE, FL US",29.6319,-81.2061,8/14/2004,,
"TITUSVILLE, FL US",28.6243,-80.817,8/13/2004,,
"TITUSVILLE, FL US",28.6243,-80.817,8/14/2004,,
"CHEKIKA FLORIDA, FL US",25.625,-80.5797,8/13/2004,,
"CHEKIKA FLORIDA, FL US",25.625,-80.5797,8/14/2004,,
"CLARKSVILLE 2 N, FL US",30.46472,-85.19917,8/13/2004,,
"CLARKSVILLE 2 N, FL US",30.46472,-85.19917,8/14/2004,,
"ORANGE SPRINGS 2 SSW, FL US",29.4794,-81.9681,8/13/2004,,
"ORANGE SPRINGS 2 SSW, FL US",29.4794,-81.9681,8/14/2004,,
"ST AUGUSTINE LIGHTHOUSE, FL US",29.8858,-81.2883,8/13/2004,,
"ST AUGUSTINE LIGHTHOUSE, FL US",29.8858,-81.2883,8/14/2004,,
"HIALEAH, FL US",25.8175,-80.2858,8/13/2004,,
