NAME,LATITUDE,LONGITUDE,DATE,AWND,WSF2
"FORT PIERCE, FL US",27.4419,-80.3508,7/10/2005,,
"FORT PIERCE, FL US",27.4419,-80.3508,7/11/2005,,
"FORT PIERCE ARC, FL US",27.4272,-80.4053,7/10/2005,,
"FORT PIERCE ARC, FL US",27.4272,-80.4053,7/11/2005,,
"BIG CYPRESS, FL US",26.3283,-80.9958,7/10/2005,,
"BIG CYPRESS, FL US",26.3283,-80.9958,7/11/2005,,
"HOMESTEAD GEN AVIATION AIRPORT, FL US",25.5011,-80.55,7/10/2005,,
"HOMESTEAD GEN AVIATION AIRPORT, FL US",25.5011,-80.55,7/11/2005,,
"LOXAHATCHEE NWR, FL US",26.4985,-80.216,7/10/2005,,
"LOXAHATCHEE NWR, FL US",26.4985,-80.216,7/11/2005,,
"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",30.49529,-81.69374,7/10/2005,14.54,23
"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",30.49529,-81.69374,7/11/2005,8.05,17
"BRISTOL 2 S, FL US",30.3794,-84.9788,7/10/2005,,
"BRISTOL 2 S, FL US",30.3794,-84.9788,7/11/2005,,
"PENSUCCO II, FL US",25.93833,-80.44056,7/10/2005,,
"PENSUCCO II, FL US",25.93833,-80.44056,7/11/2005,,
"BLOXHAM FLORIDA, FL US",30.5872,-84.9886,7/10/2005,,
"BLOXHAM FLORIDA, FL US",30.5872,-84.9886,7/11/2005,,
"JOHN PENNEKAMP STATE PARK, FL US",25.1936,-80.3493,7/10/2005,,
"JOHN PENNEKAMP STATE PARK, FL US",25.1936,-80.3493,7/11/2005,,
"CRESTVIEW FAA AP, FL US",30.77715,-86.51938,7/10/2005,19.69,42.9
"CRESTVIEW FAA AP, FL US",30.77715,-86.51938,7/11/2005,12.3,23.9
"CROSS CITY 1 E, FL US",29.6333,-83.1053,7/10/2005,,
"CROSS CITY 1 E, FL US",29.6333,-83.1053,7/11/2005,,
"MONTICELLO WTP, FL US",30.49222,-83.78333,7/10/2005,,
"MONTICELLO WTP, FL US",30.49222,-83.78333,7/11/2005,,
"LISBON, FL US",28.8728,-81.7844,7/10/2005,,
"LISBON, FL US",28.8728,-81.7844,7/11/2005,,
"WEEKI WACHEE, FL US",28.5175,-82.5756,7/10/2005,,
"WEEKI WACHEE, FL US",28.5175,-82.5756,7/11/2005,,
"PANAMA CITY 5 N, FL US",30.2491,-85.6605,7/10/2005,,
"PANAMA CITY 5 N, FL US",30.2491,-85.6605,7/11/2005,,
"MARIANNA MUNICIPAL AIRPORT, FL US",30.83696,-85.18352,7/10/2005,14.54,25.1
"MARIANNA MUNICIPAL AIRPORT, FL US",30.83696,-85.18352,7/11/2005,12.3,21
"PENSACOLA REGIONAL AIRPORT, FL US",30.47612,-87.18575,7/10/2005,22.59,76.1
"PENSACOLA REGIONAL AIRPORT, FL US",30.47612,-87.18575,7/11/2005,14.76,25.1
"CANAL POINT USDA, FL US",26.8639,-80.6256,7/10/2005,,
"CANAL POINT USDA, FL US",26.8639,-80.6256,7/11/2005,,
"MAYPORT PILOT STATION, FL US",30.4,-81.41667,7/10/2005,,34.9
"MAYPORT PILOT STATION, FL US",30.4,-81.41667,7/11/2005,,21
"PENSACOLA FOREST SHERMAN NAS, FL US",30.35,-87.31667,7/10/2005,,47
"PENSACOLA FOREST SHERMAN NAS, FL US",30.35,-87.31667,7/11/2005,,28
"PALM SHORES 1.4 W, FL US",28.18825,-80.680461,7/10/2005,,
"OCHOPEE FLORIDA, FL US",25.9167,-81.2833,7/10/2005,,
"OCHOPEE FLORIDA, FL US",25.9167,-81.2833,7/11/2005,,
"WHITE SPRINGS 7 N, FL US",30.4392,-82.7847,7/10/2005,,
"WHITE SPRINGS 7 N, FL US",30.4392,-82.7847,7/11/2005,,
"WAUCHULA, FL US",27.5477,-81.7994,7/10/2005,,
