DATE,AWND,WSF2,HurricaneName,City
8/14/2004,5.82,13,charley,Apalachicola
8/13/2004,7.38,13,charley,Brooksville
8/14/2004,4.7,21.9,charley,Brooksville
8/13/2004,9.62,25.1,charley,Clearwater
8/14/2004,7.38,25.1,charley,Clearwater
8/13/2004,7.16,13,charley,Crestview
8/14/2004,5.59,13,charley,Crestview
8/13/2004,4.47,14.1,charley,Cross City
8/14/2004,2.91,13,charley,Cross City
8/13/2004,8.28,0,charley,Daytona Beach
8/14/2004,8.28,8.1,charley,Daytona Beach
8/13/2004,11.41,16.1,charley,Destin
8/14/2004,9.62,15,charley,Destin
8/13/2004,13.87,36.9,charley,Fort Lauderdale
8/14/2004,8.95,17,charley,Fort Lauderdale
8/13/2004,13.65,36,charley,Fort Lauderdale
8/14/2004,10.29,21.9,charley,Fort Lauderdale
8/13/2004,15.88,50.1,charley,Fort Myers
8/14/2004,14.09,46.1,charley,Fort Myers
8/13/2004,17.22,61.1,charley,Fort Myers
8/14/2004,7.83,17.9,charley,Fort Myers
8/13/2004,11.41,23.9,charley,Fort Pierce
8/14/2004,6.04,6.9,charley,Fort Pierce
8/13/2004,5.37,19.9,charley,Gainesville
8/14/2004,4.92,12.1,charley,Gainesville
8/13/2004,4.7,23,charley,Jacksonville
8/14/2004,5.37,23.9,charley,Jacksonville
8/13/2004,5.59,21,charley,Jacksonville
8/14/2004,6.49,19.9,charley,Jacksonville
8/13/2004,11.41,25.9,charley,Kendall West
8/14/2004,7.83,17,charley,Kendall West
8/13/2004,19.46,48.1,charley,Key West
8/14/2004,7.83,15,charley,Key West
8/13/2004,12.97,28,charley,Marathon
8/14/2004,7.16,14.1,charley,Marathon
8/13/2004,6.93,13,charley,Marianna
8/14/2004,4.92,10.1,charley,Marianna
8/13/2004,13.87,33.1,charley,Melbourne
8/14/2004,8.28,25.9,charley,Melbourne
8/13/2004,13.65,30,charley,Miami
8/14/2004,9.17,17,charley,Miami
8/13/2004,9.17,34.9,charley,Naples
8/14/2004,5.82,14.1,charley,Naples
8/13/2004,14.54,33.1,charley,Opa-locka
8/14/2004,10.07,17.9,charley,Opa-locka
8/13/2004,12.3,66,charley,Orlando
8/13/2004,14.32,79,charley,Orlando
8/14/2004,7.16,32,charley,Orlando
8/13/2004,10.96,16.1,charley,Panama City Beach
8/14/2004,9.17,16.1,charley,Panama City Beach
8/13/2004,13.2,30,charley,Pembroke Pines
8/14/2004,8.95,17,charley,Pembroke Pines
8/13/2004,9.84,16.1,charley,Pensacola
8/14/2004,8.5,14.1,charley,Pensacola
8/13/2004,4.47,14.1,charley,Perry
8/14/2004,3.36,10.1,charley,Perry
8/13/2004,15.66,28,charley,Pompano Beach
8/14/2004,10.74,21.9,charley,Pompano Beach
8/13/2004,12.08,31.1,charley,Saint Petersburg
8/14/2004,7.83,23,charley,Saint Petersburg
8/13/2004,9.4,31.1,charley,Sarasota
8/14/2004,8.95,28,charley,Sarasota
8/13/2004,4.03,14.1,charley,Tallahassee
8/14/2004,4.7,10.1,charley,Tallahassee
8/13/2004,7.61,23,charley,Tampa
8/14/2004,4.47,15,charley,Tampa
8/13/2004,8.72,29.1,charley,Tavares
8/14/2004,5.82,13,charley,Tavares
8/13/2004,12.75,25.9,charley,Vero Beach
8/14/2004,6.93,29.1,charley,Vero Beach
8/13/2004,12.75,31.1,charley,West Palm Beach
8/14/2004,10.96,21,charley,West Palm Beach
7/10/2005,19.46,30,dennis,Apalachicola
7/11/2005,17,32,dennis,Apalachicola
7/10/2005,13.42,28,dennis,Brooksville
7/11/2005,6.49,15,dennis,Brooksville
7/10/2005,20.13,36,dennis,Clearwater
7/11/2005,7.83,15,dennis,Clearwater
7/10/2005,19.69,42.9,dennis,Crestview
7/11/2005,12.3,23.9,dennis,Crestview
7/10/2005,11.41,25.9,dennis,Cross City
7/11/2005,8.28,25.9,dennis,Cross City
7/10/2005,8.95,21.9,dennis,Daytona Beach
7/11/2005,5.14,17.9,dennis,Daytona Beach
7/11/2005,17.9,62,dennis,Destin
7/10/2005,12.97,23.9,dennis,Fort Lauderdale
7/11/2005,7.83,15,dennis,Fort Lauderdale
7/10/2005,12.3,31.1,dennis,Fort Lauderdale
7/11/2005,7.83,15,dennis,Fort Lauderdale
7/10/2005,12.97,21.9,dennis,Fort Myers
7/11/2005,5.37,21,dennis,Fort Myers
7/10/2005,14.32,23.9,dennis,Fort Myers
7/11/2005,6.71,21,dennis,Fort Myers
7/10/2005,12.97,25.9,dennis,Fort Pierce
7/11/2005,5.37,14.1,dennis,Fort Pierce
7/10/2005,12.75,23,dennis,Gainesville
7/11/2005,6.71,23,dennis,Gainesville
7/10/2005,14.76,25.9,dennis,Jacksonville
7/11/2005,7.83,23.9,dennis,Jacksonville
7/10/2005,14.54,23,dennis,Jacksonville
7/11/2005,8.05,17,dennis,Jacksonville
7/10/2005,9.62,25.9,dennis,Kendall West
7/11/2005,7.38,14.1,dennis,Kendall West
7/10/2005,17.45,32,dennis,Key West
7/11/2005,10.29,15,dennis,Key West
7/10/2005,11.18,17.9,dennis,Marathon
7/11/2005,8.28,13,dennis,Marathon
7/10/2005,14.54,25.1,dennis,Marianna
7/11/2005,12.3,21,dennis,Marianna
7/10/2005,13.2,21.9,dennis,Melbourne
7/11/2005,7.83,17,dennis,Melbourne
7/10/2005,11.86,21,dennis,Miami
7/11/2005,8.05,14.1,dennis,Miami
7/10/2005,15.21,28,dennis,Naples
7/11/2005,6.49,15,dennis,Naples
7/10/2005,13.65,25.9,dennis,Opa-locka
7/11/2005,7.83,14.1,dennis,Opa-locka
7/10/2005,14.09,23.9,dennis,Orlando
7/11/2005,6.26,17.9,dennis,Orlando
7/10/2005,13.2,29.1,dennis,Orlando
7/11/2005,6.04,23.9,dennis,Orlando
7/10/2005,23.71,38,dennis,Panama City Beach
7/11/2005,10.51,19.9,dennis,Panama City Beach
7/10/2005,12.08,25.9,dennis,Pembroke Pines
7/11/2005,6.71,14.1,dennis,Pembroke Pines
7/10/2005,22.59,76.1,dennis,Pensacola
7/11/2005,14.76,25.1,dennis,Pensacola
7/10/2005,14.76,29.1,dennis,Perry
7/11/2005,9.62,19.9,dennis,Perry
7/10/2005,14.32,33.1,dennis,Pompano Beach
7/11/2005,7.16,13,dennis,Pompano Beach
7/10/2005,14.54,28,dennis,Punta Gorda
7/11/2005,6.71,25.9,dennis,Punta Gorda
7/10/2005,24.16,38.9,dennis,Saint Petersburg
7/11/2005,10.29,17,dennis,Saint Petersburg
7/10/2005,19.46,32,dennis,Sarasota
7/11/2005,7.38,14.1,dennis,Sarasota
7/10/2005,21.7,38,dennis,Tallahassee
7/11/2005,12.3,23.9,dennis,Tallahassee
7/10/2005,13.87,25.9,dennis,Tampa
7/11/2005,6.93,13,dennis,Tampa
7/10/2005,13.65,29.1,dennis,Tavares
7/11/2005,6.49,12.1,dennis,Tavares
7/10/2005,14.76,33.1,dennis,Vero Beach
7/11/2005,7.61,15,dennis,Vero Beach
7/10/2005,15.88,34.9,dennis,West Palm Beach
7/11/2005,8.5,15,dennis,West Palm Beach
7/10/2005,13.65,25.1,dennis,Winter Haven
7/11/2005,7.38,17.9,dennis,Winter Haven
10/7/2016,10.74,21.9,matthew,Apalachicola
10/8/2016,8.05,15,matthew,Apalachicola
10/7/2016,8.28,18.1,matthew,Bonifay
10/8/2016,6.04,15,matthew,Bonifay
10/7/2016,19.69,30,matthew,Brooksville
10/8/2016,8.05,19.9,matthew,Brooksville
10/7/2016,20.58,31.1,matthew,Clearwater
10/8/2016,8.28,17,matthew,Clearwater
10/7/2016,8.28,19.9,matthew,Crestview
10/8/2016,8.95,18.1,matthew,Crestview
10/7/2016,16.33,27.1,matthew,Cross City
10/8/2016,8.95,16.1,matthew,Cross City
10/7/2016,27.51,52.1,matthew,Daytona Beach
10/8/2016,12.08,23.9,matthew,Daytona Beach
10/7/2016,10.74,19.9,matthew,Destin
10/8/2016,12.75,17,matthew,Destin
10/7/2016,15.66,25.9,matthew,Fort Lauderdale
10/8/2016,8.05,14.1,matthew,Fort Lauderdale
10/7/2016,16.55,29.1,matthew,Fort Lauderdale
10/8/2016,7.61,15,matthew,Fort Lauderdale
10/7/2016,15.21,23.9,matthew,Fort Myers
10/8/2016,8.72,16.1,matthew,Fort Myers
10/7/2016,10.96,21.9,matthew,Fort Myers
10/8/2016,6.26,13,matthew,Fort Myers
10/7/2016,22.59,42.9,matthew,Fort Pierce
10/8/2016,9.62,19.9,matthew,Fort Pierce
10/7/2016,19.24,33.1,matthew,Gainesville
10/8/2016,9.17,21.9,matthew,Gainesville
10/7/2016,28.41,47,matthew,Jacksonville
10/8/2016,13.87,30,matthew,Jacksonville
10/7/2016,26.4,45,matthew,Jacksonville
10/8/2016,13.87,32,matthew,Jacksonville
10/7/2016,33.33,53,matthew,Jacksonville
10/8/2016,13.42,30,matthew,Jacksonville
10/8/2016,11.86,25.1,matthew,Jacksonville
10/7/2016,13.2,25.9,matthew,Kendall West
10/8/2016,6.93,16.1,matthew,Kendall West
10/7/2016,10.29,17,matthew,Key West
10/8/2016,6.71,12.1,matthew,Key West
10/7/2016,11.86,18.1,matthew,Key West
10/8/2016,6.71,12.1,matthew,Key West
10/7/2016,17.45,21.9,matthew,Lakeland
