NAME,LATITUDE,LONGITUDE,DATE,AWND,WSF2
"BIG CYPRESS, FL US",26.3283,-80.9958,9/28/2022,,
"BIG CYPRESS, FL US",26.3283,-80.9958,9/29/2022,,
"HOMESTEAD GEN AVIATION AIRPORT, FL US",25.5011,-80.55,9/28/2022,,
"HOMESTEAD GEN AVIATION AIRPORT, FL US",25.5011,-80.55,9/29/2022,,
"LOXAHATCHEE NWR, FL US",26.4985,-80.216,9/28/2022,,
"LOXAHATCHEE NWR, FL US",26.4985,-80.216,9/29/2022,,
"WOODRUFF DAM, FL US",30.7219,-84.8741,9/28/2022,,
"WOODRUFF DAM, FL US",30.7219,-84.8741,9/29/2022,,
"MUSE, FL US",26.826,-81.4915,9/28/2022,,
"MUSE, FL US",26.826,-81.4915,9/29/2022,,
"NAPLES MUNICIPAL AIRPORT, FL US",26.15498,-81.77514,9/28/2022,30.42,45
"NAPLES MUNICIPAL AIRPORT, FL US",26.15498,-81.77514,9/29/2022,11.41,15
"MARATHON AIRPORT, FL US",24.72624,-81.0477,9/28/2022,16.55,32
"MARATHON AIRPORT, FL US",24.72624,-81.0477,9/29/2022,11.41,18.1
"FORT PIERCE ST LUCIE CO INTERNATIONAL AIRPORT, FL US",27.49816,-80.37626,9/28/2022,22.37,45
"FORT PIERCE ST LUCIE CO INTERNATIONAL AIRPORT, FL US",27.49816,-80.37626,9/29/2022,21.7,38.9
"FORT MYERS SW FLORIDA REGIONAL AIRPORT, FL US",26.53805,-81.75674,9/28/2022,32.88,78.1
"FORT MYERS SW FLORIDA REGIONAL AIRPORT, FL US",26.53805,-81.75674,9/29/2022,11.41,25.9
"NAPLES, FL US",26.1653,-81.6843,9/28/2022,,
"NAPLES, FL US",26.1653,-81.6843,9/29/2022,,
"NETTLES ISLAND, FL US",27.28768,-80.22144,9/28/2022,,
"NETTLES ISLAND, FL US",27.28768,-80.22144,9/29/2022,,
"WEWAHITCHKA, FL US",30.1191,-85.2041,9/28/2022,,
"WEWAHITCHKA, FL US",30.1191,-85.2041,9/29/2022,,
"NORTHWEST FLORIDA BEACHES INTERNATIONAL AIRPORT, FL US",30.34869,-85.78835,9/28/2022,14.99,25.1
"NORTHWEST FLORIDA BEACHES INTERNATIONAL AIRPORT, FL US",30.34869,-85.78835,9/29/2022,14.32,25.1
"MYAKKA RIVER ST PK, FL US",27.24012,-82.31525,9/28/2022,,
"MYAKKA RIVER ST PK, FL US",27.24012,-82.31525,9/29/2022,,
"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936,9/28/2022,,
"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936,9/29/2022,,
"FORT LAUDERDALE, FL US",26.1019,-80.2011,9/28/2022,,
"FORT LAUDERDALE, FL US",26.1019,-80.2011,9/29/2022,,
"BONIFAY TRI CO AIRPORT, FL US",30.84315,-85.60431,9/28/2022,11.63,23
"BONIFAY TRI CO AIRPORT, FL US",30.84315,-85.60431,9/29/2022,10.74,18.1
"STUART, FL US",27.1897,-80.2397,9/28/2022,,
"STUART, FL US",27.1897,-80.2397,9/29/2022,,
"MARCO ISLAND, FL US",25.9491,-81.7138,9/28/2022,,
"MARCO ISLAND, FL US",25.9491,-81.7138,9/29/2022,,
"SANFORD, FL US",28.8147,-81.2778,9/28/2022,,
"SANFORD, FL US",28.8147,-81.2778,9/29/2022,,
"DEVILS GARDEN, FL US",26.66388,-81.08998,9/28/2022,,
"DEVILS GARDEN, FL US",26.66388,-81.08998,9/29/2022,,
"OCALA, FL US",29.1638,-82.0777,9/28/2022,,
"OCALA, FL US",29.1638,-82.0777,9/29/2022,,
"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",30.51195,-86.95406,9/28/2022,11.41,23.9
"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",30.51195,-86.95406,9/29/2022,9.4,21
"FORT GREEN 12 WSW, FL US",27.57264,-82.1393,9/28/2022,,
"FORT GREEN 12 WSW, FL US",27.57264,-82.1393,9/29/2022,,
"JACKSONVILLE WHITEHOUSE NAVAL OUTLYING FIELD, FL US",30.35016,-81.876247,9/28/2022,10.51,25.1
