NAME,LATITUDE,LONGITUDE,DATE,AWND,WSF2,HurricaneName
"MARY ESTHER 0.6 E, FL US",30.4109,-86.6475,9/11/2017,,,irma
"OAK HILL 2.8 WSW, FL US",28.860597,-80.871231,9/11/2017,,,irma
"COCOA 2.6 WNW, FL US",28.3956,-80.7868,9/11/2017,,,irma
"DE LAND 1.4 WSW, FL US",29.02638751,-81.31822754,9/11/2017,,,irma
"NICEVILLE 3.4 ESE, FL US",30.512333,-86.4305,9/11/2017,,,irma
"CRESTVIEW 1.9 SE, FL US",30.73,-86.555,9/11/2017,,,irma
"PALM SHORES 4.3 NNW, FL US",28.2439,-80.6842,9/11/2017,,,irma
"LOXAHATCHEE NWR, FL US",26.4985,-80.216,9/11/2017,,,irma
"INVERNESS 2.6 ENE, FL US",28.85823631,-82.30563354,9/11/2017,,,irma
"SUN CITY CENTER 0.9 SSE, FL US",27.708626,-82.348262,9/11/2017,,,irma
"MICCO 1.3 NW, FL US",27.886064,-80.528297,9/11/2017,,,irma
"HERNANDO 1.6 N, FL US",28.92978,-82.37039,9/11/2017,,,irma
"DAVIE 2.6 WSW, FL US",26.06451988,-80.3256073,9/11/2017,,,irma
"MONTICELLO 2.9 WSW, FL US",30.5255,-83.91623,9/11/2017,,,irma
"LA BELLE 4.5 NNW, FL US",26.820574,-81.4495,9/11/2017,,,irma
"SHALIMAR 1.0 N, FL US",30.458585,-86.58152,9/11/2017,,,irma
"CAPE CANAVERAL 0.6 ESE, FL US",28.3861,-80.6003,9/11/2017,,,irma
"ROCKLEDGE 1.1 WSW, FL US",28.312227,-80.745553,9/11/2017,,,irma
"MELBOURNE BEACH 3.9 SSE, FL US",28.0165,-80.5332,9/11/2017,,,irma
"CRYSTAL RIVER 4.7 ESE, FL US",28.870996,-82.527257,9/11/2017,,,irma
"CRYSTAL RIVER 5.3 NNE, FL US",28.969336,-82.558675,9/11/2017,,,irma
"LAMONT 7.7 SW, FL US",30.29251,-83.8973,9/11/2017,,,irma
"DELAND 2.0 W, FL US",29.03740692,-81.32992554,9/11/2017,,,irma
"TAMPA 4.8 SW, FL US",27.8902,-82.4907,9/11/2017,,,irma
"MUSE, FL US",26.826,-81.4915,9/11/2017,,,irma
"LUTZ 0.6 WSW, FL US",28.134079,-82.471878,9/11/2017,,,irma
"RIVERVIEW 0.9 ENE, FL US",27.87351227,-82.30288696,9/11/2017,,,irma
"PALM BAY 2.6 SSE, FL US",27.951176,-80.64202,9/11/2017,,,irma
"PALM SHORES 1.4 W, FL US",28.18825,-80.680461,9/11/2017,,,irma
"NICEVILLE 2.3 SE, FL US",30.504883,-86.45918,9/11/2017,,,irma
"NICEVILLE 3.6 SE, FL US",30.49385,-86.439794,9/11/2017,,,irma
"EGLIN AFB 5.6 NE, FL US",30.52436,-86.49238,9/11/2017,,,irma
"RUSKIN 1.6 ESE, FL US",27.70357,-82.40661,9/11/2017,,,irma
"MELBOURNE 1.1 N, FL US",28.1312,-80.6436,9/11/2017,,,irma
"RIVERVIEW 4.9 S, FL US",27.79903,-82.316107,9/11/2017,,,irma
"MIRAMAR 3.7 E, FL US",25.979063,-80.274199,9/11/2017,,,irma
"APOLLO BEACH 2.7 ENE, FL US",27.7822,-82.3645,9/11/2017,,,irma
"ORMOND BEACH 3.5 SE, FL US",29.265,-81.0472,9/11/2017,,,irma
"DE LAND 4.5 NW, FL US",29.087,-81.344,9/11/2017,,,irma
"DE LAND 5.7 NW, FL US",29.09954,-81.356858,9/11/2017,,,irma
"PALM BAY 4.9 S, FL US",27.914683,-80.652338,9/11/2017,,,irma
"MELBOURNE 4.6 NNW, FL US",28.1712,-80.6816,9/11/2017,,,irma
"NAPLES, FL US",26.1653,-81.6843,9/11/2017,,,irma
"MELBOURNE 4.7 N, FL US",28.1825,-80.6524,9/11/2017,,,irma
"LA BELLE 2.3 WNW, FL US",26.763904,-81.474755,9/11/2017,,,irma
"PALM BAY 2.7 SSE, FL US",27.950097,-80.642062,9/11/2017,,,irma
"MERRITT ISLAND 3.8 N, FL US",28.365179,-80.66471,9/11/2017,,,irma
"NETTLES ISLAND, FL US",27.28768,-80.22144,9/11/2017,,,irma
"INDIALANTIC 3.3 NNW, FL US",28.132907,-80.585547,9/11/2017,,,irma
"WESTON 2.8 SE, FL US",26.07204,-80.3679,9/11/2017,,,irma
"PLANTATION 1.9 SE, FL US",26.106931,-80.23944,9/11/2017,,,irma
"MIMS 1.6 SW, FL US",28.668625,-80.865034,9/11/2017,,,irma
"TAMARAC 2.2 W, FL US",26.210471,-80.292299,9/11/2017,,,irma
"FERNANDINA BEACH, FL US",30.6669,-81.4525,9/11/2017,,,irma
"TITUSVILLE 3.5 NW, FL US",28.6282,-80.8572,9/11/2017,,,irma
"MYAKKA RIVER ST PK, FL US",27.24012,-82.31525,9/11/2017,,,irma
