NAME,LATITUDE,LONGITUDE,DATE,AWND,WSF2
"MARY ESTHER 0.6 E, FL US",30.4109,-86.6475,10/7/2016,,
"BIG CYPRESS, FL US",26.3283,-80.9958,10/7/2016,,
"OAK HILL 2.8 WSW, FL US",28.860597,-80.871231,10/7/2016,,
"COCOA 2.6 WNW, FL US",28.3956,-80.7868,10/7/2016,,
"DE LAND 1.4 WSW, FL US",29.02638751,-81.31822754,10/7/2016,,
"NICEVILLE 3.4 ESE, FL US",30.512333,-86.4305,10/7/2016,,
"HOSFORD 2.7 SW, FL US",30.351761,-84.8173939,10/7/2016,,
"CRESTVIEW 1.9 SE, FL US",30.73,-86.555,10/7/2016,,
"PALM SHORES 4.3 NNW, FL US",28.2439,-80.6842,10/7/2016,,
"TAMPA 5.2 SSW, FL US",27.894653,-82.525741,10/7/2016,,
"HOMESTEAD GEN AVIATION AIRPORT, FL US",25.5011,-80.55,10/7/2016,,
"LOXAHATCHEE NWR, FL US",26.4985,-80.216,10/7/2016,,
"INVERNESS 2.6 ENE, FL US",28.85823631,-82.30563354,10/7/2016,,
"SUN CITY CENTER 0.9 SSE, FL US",27.708626,-82.348262,10/7/2016,,
"TELOGIA 2.5 SE, FL US",30.33,-84.78,10/7/2016,,
"DE LEON SPRINGS 6.4 ENE, FL US",29.167171,-81.262976,10/7/2016,,
"CITRUS SPRINGS 1.7 E, FL US",29.00106049,-82.44760132,10/7/2016,,
"HERNANDO 1.6 N, FL US",28.92978,-82.37039,10/7/2016,,
"DAVIE 2.6 WSW, FL US",26.06451988,-80.3256073,10/7/2016,,
"MONTICELLO 2.9 WSW, FL US",30.5255,-83.91623,10/7/2016,,
"LA BELLE 4.5 NNW, FL US",26.820574,-81.4495,10/7/2016,,
"LA BELLE 6.2 NW, FL US",26.821053,-81.508107,10/7/2016,,
"SHALIMAR 1.0 N, FL US",30.458585,-86.58152,10/7/2016,,
"ROCKLEDGE 1.1 WSW, FL US",28.312227,-80.745553,10/7/2016,,
"NICEVILLE 4.5 SE, FL US",30.478358,-86.437174,10/7/2016,,
"CRYSTAL RIVER 5.3 NNE, FL US",28.969336,-82.558675,10/7/2016,,
"MONTICELLO 4.3 ENE, FL US",30.55768776,-83.80156708,10/7/2016,,
"DE LEON SPRINGS 1.3 NNW, FL US",29.13443565,-81.36264038,10/7/2016,,
"PALM SHORES 2.9 NW, FL US",28.21185,-80.696076,10/7/2016,,
"LAMONT 7.7 SW, FL US",30.29251,-83.8973,10/7/2016,,
"DELAND 2.0 W, FL US",29.03740692,-81.32992554,10/7/2016,,
"TAMPA 4.8 SW, FL US",27.8902,-82.4907,10/7/2016,,
"MUSE, FL US",26.826,-81.4915,10/7/2016,,
"PLANTATION 2.5 ESE, FL US",26.1121,-80.2247,10/7/2016,,
"LUTZ 0.6 WSW, FL US",28.134079,-82.471878,10/7/2016,,
"RIVERVIEW 0.9 ENE, FL US",27.87351227,-82.30288696,10/7/2016,,
"BIG COPPITT KEY 0.2 NW, FL US",24.598584,-81.662159,10/7/2016,,
