NAME,LATITUDE,LONGITUDE,DATE,AWND,WSF2,HurricaneName
"MARY ESTHER 0.6 E, FL US",30.4109,-86.6475,10/11/2018,,,michael
"BIG CYPRESS, FL US",26.3283,-80.9958,10/11/2018,,,michael
"OAK HILL 2.8 WSW, FL US",28.860597,-80.871231,10/11/2018,,,michael
"COCOA 2.6 WNW, FL US",28.3956,-80.7868,10/11/2018,,,michael
"DE LAND 1.4 WSW, FL US",29.02638751,-81.31822754,10/11/2018,,,michael
"NICEVILLE 3.4 ESE, FL US",30.512333,-86.4305,10/11/2018,,,michael
"PORT ORANGE 3.4 SSW, FL US",29.06495285,-81.0307312,10/11/2018,,,michael
"HOSFORD 2.7 SW, FL US",30.351761,-84.8173939,10/11/2018,,,michael
"CRESTVIEW 1.9 SE, FL US",30.73,-86.555,10/11/2018,,,michael
"PALM SHORES 4.3 NNW, FL US",28.2439,-80.6842,10/11/2018,,,michael
"HOMESTEAD GEN AVIATION AIRPORT, FL US",25.5011,-80.55,10/11/2018,,,michael
"LOXAHATCHEE NWR, FL US",26.4985,-80.216,10/11/2018,,,michael
"INVERNESS 2.6 ENE, FL US",28.85823631,-82.30563354,10/11/2018,,,michael
"SUN CITY CENTER 0.9 SSE, FL US",27.708626,-82.348262,10/11/2018,,,michael
"CITRUS SPRINGS 1.7 E, FL US",29.00106049,-82.44760132,10/11/2018,,,michael
"MICCO 1.3 NW, FL US",27.886064,-80.528297,10/11/2018,,,michael
"HERNANDO 1.6 N, FL US",28.92978,-82.37039,10/11/2018,,,michael
"MONTICELLO 2.9 WSW, FL US",30.5255,-83.91623,10/11/2018,,,michael
"SHALIMAR 1.0 N, FL US",30.458585,-86.58152,10/11/2018,,,michael
"CAPE CANAVERAL 0.6 ESE, FL US",28.3861,-80.6003,10/11/2018,,,michael
"ROCKLEDGE 1.1 WSW, FL US",28.312227,-80.745553,10/11/2018,,,michael
"CRYSTAL RIVER 4.7 ESE, FL US",28.870996,-82.527257,10/11/2018,,,michael
