City,HurricaneName,SizeRank,before,after,percent,increase
Jacksonville,charley,12,120287.1799,136338.2043,13.343919454545306,0
Orlando,charley,16,153628.1167,178133.799,15.95130033902185,0
Miami,charley,20,196585.3564,242294.981,23.251795269528028,1
Tampa,charley,50,134130.4031,158405.6253,18.098225039927595,0
Saint Petersburg,charley,84,112809.7002,134746.595,19.445929526546152,0
Tallahassee,charley,89,142481.8737,162055.9571,13.737946372893608,0
Fort Myers,charley,106,171765.7161,201238.0045,17.158423152872718,0
Pensacola,charley,110,101360.6604,116368.0571,14.80593816257339,0
Sarasota,charley,113,192678.2661,230475.3653,19.616690540687813,0
Hialeah,charley,116,152668.9609,186322.2106,22.043282080136294,0
Boca Raton,charley,128,229555.0738,275463.0648,19.99868277361508,0
Bradenton,charley,130,161360.383,188868.8374,17.04783658080434,0
Gainesville,charley,132,135214.9256,154842.6971,14.51597995776289,0
Port Saint Lucie,charley,133,176273.497,212183.9539,20.372011397720208,0
West Palm Beach,charley,158,156234.5376,191100.1557,22.31620398126361,0
Cape Coral,charley,171,171741.0334,206918.3044,20.48274096387265,0
Lake Worth,charley,172,128335.8531,162509.719,26.628463577805928,1
Homestead,charley,188,134733.0904,170518.7037,26.56037443641984,1
Fort Lauderdale,charley,190,216401.5703,263726.4331,21.869001567037166,0
Boynton Beach,charley,210,198998.1046,241034.9151,21.12422657718119,0
Pembroke Pines,charley,219,178117.3968,213234.8484,19.71590211338638,0
Clearwater,charley,233,133267.0981,156267.5306,17.258897978510117,0
Hollywood,charley,240,154481.6717,187938.3326,21.657365907440518,0
Saint Augustine,charley,275,179231.3821,211132.7551,17.798988450695,0
Miramar,charley,287,199789.8955,237986.8597,19.118566584364615,0
Coral Springs,charley,292,208728.3054,249184.3096,19.382136084740136,0
Melbourne,charley,299,163119.7494,211150.4102,29.445031013516264,1
Riverview,charley,312,172131.4241,200458.99,16.456940415216135,0
New Port Richey,charley,338,132039.4326,155036.9245,17.417139294795785,0
Spring Hill,charley,339,140317.0961,171538.193,22.250386993292405,0
Largo,charley,344,123052.4942,143495.0212,16.61285058291812,0
Vero Beach,charley,350,148874.7375,182454.3164,22.5555923482317,0
Palm Bay,charley,354,134796.2986,178379.2657,32.33246576697913,1
Delray Beach,charley,357,139820.068,171840.6543,22.90128073746896,0
Lehigh Acres,charley,370,99899.02203,121107.6068,21.230022415665886,0
Pompano Beach,charley,390,146475.6125,178796.0485,22.06540423239399,0
Miami Gardens,charley,397,104456.4619,125681.208,20.319227469449647,0
Davie,charley,414,203193.8819,242563.7593,19.375523038324314,0
Apopka,charley,432,171584.8125,199474.5097,16.25417587585148,0
Clermont,charley,463,185725.5532,218452.4173,17.62108850189173,0
Sunrise,charley,498,121266.9253,144440.9203,19.109905642177598,0
Plantation,charley,518,206172.4617,245211.5499,18.935161310148917,0
Port Charlotte,charley,523,114722.0595,138427.8344,20.663658762158107,0
Fort Pierce,charley,529,100474.2963,126908.5433,26.309462194262718,1
Palm Coast,charley,536,158119.1841,190864.825,20.709467409906775,0
Deltona,charley,548,132584.8844,159241.0719,20.104997353680236,0
Sanford,charley,556,135706.5916,159707.0119,17.68552287477832,0
Town 'n' Country,charley,567,137295.5905,159578.4309,16.229829609859188,0
Brandon,charley,574,153759.7435,178909.4001,16.356463679974848,0
Deerfield Beach,charley,603,99204.14493,121670.9768,22.647069722593706,0
Oviedo,charley,624,214784.4873,248632.4794,15.75904876813699,0
Wesley Chapel,charley,633,192148.731,225200.3852,17.20107857490872,0
Orange Park,charley,652,140386.4701,157206.6644,11.981349974836359,0
Plant City,charley,662,135397.3196,154460.6579,14.079553684163187,0
The Villages,charley,664,185303.7078,211829.5906,14.31481491381145,0
Venice,charley,672,208253.6269,254634.3457,22.271265807183884,0
Winter Park,charley,679,167838.8678,195165.4664,16.28144836663394,0
Jupiter,charley,690,269740.5705,323790.6928,20.03781715142478,0
Milton,charley,704,89191.43934,103385.8729,15.914569453118105,0
Land O Lakes,charley,709,210653.2912,246235.3219,16.89127689261567,0
Palm Beach Gardens,charley,717,260094.0058,311245.9829,19.666726629345483,0
North Port,charley,726,142043.631,180045.6425,26.753759554344253,1
Lauderhill,charley,728,74592.62732,87902.73101,17.84372553724389,0
Palm Harbor,charley,734,168112.5758,194336.7774,15.59919088456439,0
Daytona Beach,charley,744,107321.8023,132003.5266,22.997866017015276,1
Deland,charley,746,138708.1177,166070.1725,19.72635434299458,0
Winter Garden,charley,771,226171.5775,265700.6941,17.477490777991324,0
Lutz,charley,772,201017.6499,231846.4088,15.336344303764552,0
Davenport,charley,782,169531.8613,197765.9245,16.65413390939984,0
Tamarac,charley,785,115373.5157,136518.6818,18.327573682492876,0
Cocoa,charley,812,122273.9195,153899.4795,25.864518066749287,1
Valrico,charley,822,185396.7338,215015.9758,15.976140136294031,0
Doral,charley,830,210132.0325,248760.8117,18.383098826210606,0
Weston,charley,838,309915.1803,366740.3233,18.335708158920404,0
Port Orange,charley,854,171552.2943,203678.2495,18.72662521424524,0
Fountainbleau,charley,881,134250.0439,161737.0886,20.474514496601966,0
Poinciana,charley,888,134719.2789,165800.5242,23.07111911062939,1
Stuart,charley,912,156745.8577,193227.0913,23.274129304151945,1
Panama City,charley,916,110303.9436,133871.2236,21.365763753164668,0
Altamonte Springs,charley,924,119399.5657,138625.0707,16.101821549590447,0
Wellington,charley,936,294972.2693,358859.6703,21.65878207860403,0
North Miami,charley,965,100782.1475,126196.7472,25.217362727858117,1
Ormond Beach,charley,1001,184357.8151,226797.1029,23.020064420366406,1
The Hammocks,charley,1010,212532.836,257914.9912,21.35300881224771,0
Punta Gorda,charley,1014,160933.7785,189862.3156,17.975429005415428,0
Margate,charley,1019,111505.2974,133744.4533,19.944483731765732,0
Titusville,charley,1023,116133.0878,143325.3577,23.4147480404805,1
Leesburg,charley,1024,112571.0912,129286.4169,14.848684082046104,0
Bonita Springs,charley,1040,280638.6681,325458.1964,15.970546255596343,0
Coconut Creek,charley,1045,137160.6791,163306.2715,19.062017315427532,0
Middleburg,charley,1068,132121.0304,149758.2895,13.34931997321149,0
Tamiami,charley,1081,206377.3772,250395.7498,21.32906871732451,0
North Fort Myers,charley,1086,127683.7949,154090.293,20.681166408533816,0
Zephyrhills,charley,1091,104954.2878,122111.4939,16.34731315855777,0
Longwood,charley,1094,192279.449,223574.5036,16.275818743374913,0
Kendale Lakes,charley,1112,162784.6312,195881.7023,20.331815636413715,0
Seminole,charley,1116,153198.0062,180184.655,17.615535260144917,0
Pine Hills,charley,1127,81060.61505,94074.73344,16.054798476390296,0
Pinellas Park,charley,1183,114354.79,134348.8663,17.484249063812722,0
Windermere,charley,1197,326346.302,376772.8495,15.451851971651875,0
Port Richey,charley,1219,90858.3505,108827.69,19.777312047944346,0
Coral Gables,charley,1233,489051.109,579773.5104,18.550699452559677,0
Palmetto,charley,1256,158349.2206,186568.0454,17.82062753013639,0
Haines City,charley,1259,109497.8258,126798.7933,15.800284045457275,0
Winter Springs,charley,1273,190903.0915,219238.378,14.842759369352585,0
Country Club,charley,1294,122260.5244,149550.6036,22.321251551903217,0
Rockledge,charley,1305,182559.9262,234294.6502,28.338488668823757,1
Lake Mary,charley,1323,209015.6043,242245.6689,15.89836544084282,0
Panama City Beach,charley,1343,180498.6916,243539.3417,34.92582109110424,1
Merritt Island,charley,1359,198364.9133,249531.3665,25.794104586740957,1
Oakland Park,charley,1363,125768.4797,154856.4024,23.128150049507195,1
Ocoee,charley,1374,191267.9677,220751.6469,15.414854643222093,0
Okeechobee,charley,1395,94862.68847,106251.4908,12.005565637749847,0
North Lauderdale,charley,1407,111764.4484,134231.5353,20.10217669539359,0
Brooksville,charley,1410,118348.2642,138707.6479,17.202942381642472,0
Cutler Bay,charley,1412,179260.6962,221200.1567,23.395792490512477,1
Hudson,charley,1414,120259.0638,143289.527,19.150708871558667,0
North Miami Beach,charley,1455,115448.5125,146075.3168,26.528539551343293,1
Greenacres,charley,1467,115164.2238,140402.1692,21.914744498976944,0
Casselberry,charley,1483,147085.2291,170604.2028,15.99003097993611,0
Hallandale,charley,1494,130130.0039,158932.3721,22.13353364849935,0
Dunnellon,charley,1525,104753.7006,121815.1593,16.287213341654493,0
Eustis,charley,1621,121759.1695,142486.5068,17.023224932558364,0
Kendall West,charley,1644,125775.8991,151474.7365,20.432243048064212,0
Riviera Beach,charley,1645,156298.1681,189247.2882,21.08093812009304,0
Royal Palm Beach,charley,1656,198692.2156,245147.3435,23.38044686839759,1
Lake Wales,charley,1671,79908.37357,91045.37296,13.937211949688788,0
Fernandina Beach,charley,1691,227512.9444,256802.4267,12.87376521685067,0
Egypt Lake-Leto,charley,1711,95671.61374,112426.8737,17.51330337704409,0
New Smyrna Beach,charley,1724,182664.3658,226914.3343,24.224740444695968,1
Golden Glades,charley,1730,117847.0426,147032.9425,24.765916272556513,1
Greater Carrollwood,charley,1741,165498.4446,190406.758,15.050481870208474,0
Lauderdale Lakes,charley,1770,74832.63542,88417.68838,18.153914911259715,0
Auburndale,charley,1786,108491.9641,122691.5378,13.088134054713835,0
Tarpon Springs,charley,1796,164628.1841,192580.3058,16.978940667304602,0
Parkland,charley,1802,461907.7215,539633.7726,16.82718159540445,0
Arcadia,charley,1809,86392.18318,105652.6249,22.294194927185064,0
Navarre,charley,1868,171475.7002,215439.9964,25.638790889159473,1
West Little River,charley,1872,98103.7332,120736.0939,23.069826154179427,1
Dunedin,charley,1879,136295.888,159650.7368,17.135402353444444,0
Bartow,charley,1903,87913.11094,96468.95084,9.732154633726134,0
Estero,charley,1911,311719.5188,357004.9879,14.527633455335613,0
Inverness,charley,1954,94094.80728,108766.2624,15.592204866674352,0
Cooper City,charley,1956,288167.5889,343501.538,19.202003011935542,0
Palm City,charley,2064,282139.9877,340998.5857,20.861487405530216,0
Dania Beach,charley,2071,135608.8299,161706.9295,19.245132945432182,0
Cantonment,charley,2085,132297.7241,150589.0259,13.825862783681867,0
Miami Lakes,charley,2105,273194.7085,337450.7624,23.520241022530637,1
Ruskin,charley,2108,148771.8985,173535.3171,16.64522591274183,0
Fleming Island,charley,2118,211633.086,234648.6153,10.875203747678656,0
Green Cove Springs,charley,2129,134238.0997,148149.3474,10.363114295486417,0
Englewood,charley,2135,154150.3328,191105.2848,23.973319634636553,1
Holiday,charley,2154,95564.63502,114307.2905,19.612543359871037,0
Ponte Vedra Beach,charley,2164,336918.1872,382789.7023,13.6150308421225,0
Temple Terrace,charley,2178,132992.8305,155782.2687,17.13583966468025,0
Crawfordville,charley,2197,127514.4284,154618.6962,21.255843860254483,0
Immokalee,charley,2208,146726.3938,168287.7842,14.694963763227175,0
Sebastian,charley,2240,147088.7149,186729.9812,26.950583072909843,1
Niceville,charley,2251,187777.6302,242975.6406,29.39541325620585,1
Mount Dora,charley,2259,158877.9374,183588.0194,15.552871848901532,0
Citrus Park,charley,2319,177080.0795,206021.7661,16.343840979583486,0
Odessa,charley,2326,254113.6283,298571.1136,17.49512042994979,0
Seffner,charley,2373,155268.8824,179636.676,15.693932501700033,0
