City,HurricaneName,DATE,AWND,WSF2,SizeRank,before,after,percent,increase
Apalachicola,charley,8/14/2004,5.82,13.0,12877,91915.39335,114408.1491,24.471152143527217,1
Apalachicola,dennis,7/10/2005,19.46,30.0,12877,112287.8968,140227.0087,24.881677096297704,0
Apalachicola,dennis,7/11/2005,17.0,32.0,12877,112287.8968,140227.0087,24.881677096297704,0
Apalachicola,ian,9/28/2022,38.0273,57.93571,12877,144565.8722,161515.9275,11.724797175193869,1
Apalachicola,irma,9/11/2017,20.8,36.9,12877,127923.4267,142053.1799,11.045477411370808,0
Apalachicola,irma,9/10/2017,19.01,32.0,12877,127923.4267,142053.1799,11.045477411370808,0
Apalachicola,irma,9/9/2017,12.97,19.9,12877,127923.4267,142053.1799,11.045477411370808,0
Apalachicola,matthew,10/7/2016,10.74,21.9,12877,124938.9556,128831.4366,3.115506273689389,0
Apalachicola,matthew,10/8/2016,8.05,15.0,12877,124938.9556,128831.4366,3.115506273689389,0
Apalachicola,michael,10/10/2018,29.75,63.1,12877,144565.8722,161515.9275,11.724797175193869,1
Apalachicola,michael,10/9/2018,13.2,21.0,12877,144565.8722,161515.9275,11.724797175193869,1
Brooksville,charley,8/13/2004,7.38,13.0,1410,118348.2642,138707.6479,17.202942381642472,0
Brooksville,charley,8/14/2004,4.7,21.9,1410,118348.2642,138707.6479,17.202942381642472,0
Brooksville,dennis,7/10/2005,13.42,28.0,1410,136807.943,180303.3979,31.79307717535086,1
Brooksville,dennis,7/11/2005,6.49,15.0,1410,136807.943,180303.3979,31.79307717535086,1
Brooksville,ian,9/28/2022,42.031351,74.04139,1410,162901.0029,171915.4352,5.5336874172184825,0
Brooksville,irma,9/10/2017,20.8,42.9,1410,145960.5536,161118.2055,10.384759118918549,0
Brooksville,irma,9/9/2017,13.87,25.9,1410,145960.5536,161118.2055,10.384759118918549,0
Brooksville,matthew,10/7/2016,19.69,30.0,1410,131341.0282,147305.0807,12.154657778139724,1
Brooksville,matthew,10/8/2016,8.05,19.9,1410,131341.0282,147305.0807,12.154657778139724,1
Brooksville,michael,10/11/2018,7.83,17.0,1410,162901.0029,171915.4352,5.5336874172184825,0
Brooksville,michael,10/10/2018,13.2,25.1,1410,162901.0029,171915.4352,5.5336874172184825,0
Brooksville,michael,10/9/2018,10.07,16.1,1410,162901.0029,171915.4352,5.5336874172184825,0
Clearwater,charley,8/13/2004,9.62,25.1,233,133267.0981,156267.5306,17.258897978510117,0
Clearwater,charley,8/14/2004,7.38,25.1,233,133267.0981,156267.5306,17.258897978510117,0
Clearwater,dennis,7/10/2005,20.13,36.0,233,153662.2116,190999.0434,24.297991946902307,0
Clearwater,dennis,7/11/2005,7.83,15.0,233,153662.2116,190999.0434,24.297991946902307,0
Clearwater,irma,9/11/2017,20.8,53.0,233,179891.153,198375.9938,10.275569694080511,0
Clearwater,irma,9/10/2017,25.5,49.0,233,179891.153,198375.9938,10.275569694080511,0
Clearwater,irma,9/9/2017,15.66,25.1,233,179891.153,198375.9938,10.275569694080511,0
Clearwater,matthew,10/7/2016,20.58,31.1,233,164004.3439,180947.345,10.330824597140438,0
Clearwater,matthew,10/8/2016,8.28,17.0,233,164004.3439,180947.345,10.330824597140438,0
Clearwater,michael,10/11/2018,8.05,16.1,233,199513.8727,214674.7514,7.59890953688054,0
Clearwater,michael,10/10/2018,18.34,30.0,233,199513.8727,214674.7514,7.59890953688054,0
Clearwater,michael,10/9/2018,14.09,28.0,233,199513.8727,214674.7514,7.59890953688054,0
Cross City,charley,8/13/2004,4.47,14.1,11954,38971.28538,48205.34273,23.694515743991595,1
Cross City,charley,8/14/2004,2.91,13.0,11954,38971.28538,48205.34273,23.694515743991595,1
Cross City,dennis,7/10/2005,11.41,25.9,11954,47433.41348,58910.95066,24.197156261670752,0
Cross City,dennis,7/11/2005,8.28,25.9,11954,47433.41348,58910.95066,24.197156261670752,0
Cross City,ian,9/29/2022,40.532628,65.09379,11954,58194.97041,65173.70405,11.99198760792015,1
Cross City,irma,9/11/2017,35.12,40.9,11954,55676.5735,57532.88714,3.334101801361753,0
Cross City,irma,9/10/2017,19.91,31.1,11954,55676.5735,57532.88714,3.334101801361753,0
Cross City,irma,9/9/2017,12.97,21.9,11954,55676.5735,57532.88714,3.334101801361753,0
Cross City,matthew,10/7/2016,16.33,27.1,11954,55644.25987,55475.02634,-0.3041347488409049,0
Cross City,matthew,10/8/2016,8.95,16.1,11954,55644.25987,55475.02634,-0.3041347488409049,0
