City,HurricaneName,SizeRank,before,after,percent,increase
Jacksonville,charley,12,219711.2386,249137.7656,13.393273456335612,0
Orlando,charley,16,268593.099,311622.3096,16.020221949187157,0
Miami,charley,20,438933.0461,531656.5319,21.12474479282547,0
Tampa,charley,50,314461.3881,368173.9723,17.080820168267916,0
Saint Petersburg,charley,84,245925.9512,292718.6866,19.027164547569715,0
Tallahassee,charley,89,250695.076,285238.5945,13.779097320603139,0
Lakeland,charley,105,179700.2608,203371.7822,13.172780770944767,0
Fort Myers,charley,106,324271.68,378762.014,16.803913927975465,0
Pensacola,charley,110,177977.3712,205712.0826,15.583279611897089,0
Sarasota,charley,113,385639.132,459976.734,19.276467513675456,0
Hialeah,charley,116,258719.358,318071.2956,22.940663605078985,1
Boca Raton,charley,128,510443.1407,604255.0782,18.378528384444603,0
Bradenton,charley,130,311958.4452,364740.8056,16.919676710839052,0
Gainesville,charley,132,231214.6597,262351.7533,13.466747151932424,0
Port Saint Lucie,charley,133,282791.5433,338497.9793,19.698763035818118,0
West Palm Beach,charley,158,337513.4241,408594.3455,21.06017607730465,0
Cape Coral,charley,171,301512.7999,360822.4282,19.670683407029728,0
Lake Worth,charley,172,266926.474,334829.1116,25.438704742340402,1
Homestead,charley,188,246303.5371,309992.5659,25.857943231299217,1
Fort Lauderdale,charley,190,519364.7245,625317.4404,20.400445178867734,0
Boynton Beach,charley,210,349536.7423,423753.64,21.232931683130822,0
Pembroke Pines,charley,219,308293.9687,367350.0459,19.155767934424723,0
Clearwater,charley,233,292317.2752,343430.0939,17.485391058407078,0
Hollywood,charley,240,308962.2474,374757.9213,21.295700187867027,0
Saint Augustine,charley,275,310822.2761,364983.9772,17.425295824863824,0
Miramar,charley,287,319164.5123,382552.5974,19.86063069581437,0
Coral Springs,charley,292,364579.824,431679.155,18.40456508641027,0
Melbourne,charley,299,290803.3142,370636.3404,27.45258472023286,1
Riverview,charley,312,253341.0859,296147.5449,16.89676936843033,0
New Port Richey,charley,338,240867.4664,281636.5035,16.925921009314017,0
Spring Hill,charley,339,226925.82,271160.7947,19.493143045599666,0
Largo,charley,344,222399.9942,260093.2539,16.948408580489087,0
Vero Beach,charley,350,331718.3019,404658.9121,21.98872048428269,1
Palm Bay,charley,354,207933.4238,268999.8561,29.3682618138085,1
Delray Beach,charley,357,369008.4799,450739.3082,22.14876696658809,1
Lehigh Acres,charley,370,177705.6539,212961.9408,19.83971028847496,0
Pompano Beach,charley,390,291175.1939,355678.3378,22.15269200512756,1
Miami Gardens,charley,397,199897.2119,239693.7438,19.908497733279294,0
Davie,charley,414,413461.0176,492540.5478,19.126236049780374,0
Apopka,charley,432,278101.9045,321836.8674,15.726236387568493,0
Clermont,charley,463,278746.7737,327293.6414,17.416118240797417,0
Sunrise,charley,498,233547.1778,280126.7003,19.94437395423753,0
Plantation,charley,518,371714.9821,438832.8433,18.05627010803232,0
Port Charlotte,charley,523,215504.8591,257303.3086,19.39559491816581,0
Fort Pierce,charley,529,189617.9706,234681.7573,23.76556744986068,1
Palm Coast,charley,536,262001.6325,313768.6167,19.75826780392294,0
Deltona,charley,548,196786.6837,231328.7376,17.553044367910147,0
Sanford,charley,556,250806.3373,291265.2713,16.13154373830888,0
Town 'n' Country,charley,567,233641.163,270950.4682,15.968635287096223,0
