City,HurricaneName,DATE,AWND,WSF2,SizeRank,before,after,percent,increase
Apalachicola,charley,8/14/2004,5.82,13.0,12877,221794.3003,275297.2698,24.122788289704307,1
Apalachicola,dennis,7/10/2005,19.46,30.0,12877,269923.5452,339439.8016,25.75405430026192,0
Apalachicola,dennis,7/11/2005,17.0,32.0,12877,269923.5452,339439.8016,25.75405430026192,0
Apalachicola,ian,9/28/2022,38.0273,57.93571,12877,279871.2479,308859.81,10.35782071846044,1
Apalachicola,irma,9/11/2017,20.8,36.9,12877,257605.2886,276477.8214,7.326143381048588,0
Apalachicola,irma,9/10/2017,19.01,32.0,12877,257605.2886,276477.8214,7.326143381048588,0
Apalachicola,irma,9/9/2017,12.97,19.9,12877,257605.2886,276477.8214,7.326143381048588,0
Apalachicola,matthew,10/7/2016,10.74,21.9,12877,255217.2827,259168.4086,1.5481419824708385,0
Apalachicola,matthew,10/8/2016,8.05,15.0,12877,255217.2827,259168.4086,1.5481419824708385,0
Apalachicola,michael,10/10/2018,29.75,63.1,12877,279871.2479,308859.81,10.35782071846044,1
Apalachicola,michael,10/9/2018,13.2,21.0,12877,279871.2479,308859.81,10.35782071846044,1
Brooksville,charley,8/13/2004,7.38,13.0,1410,231523.479,271932.0594,17.4533401858565,0
Brooksville,charley,8/14/2004,4.7,21.9,1410,231523.479,271932.0594,17.4533401858565,0
Brooksville,dennis,7/10/2005,13.42,28.0,1410,267943.0755,341610.9031,27.493835197095816,0
Brooksville,dennis,7/11/2005,6.49,15.0,1410,267943.0755,341610.9031,27.493835197095816,0
Brooksville,ian,9/28/2022,42.031351,74.04139,1410,273590.5313,287680.357,5.149968324214459,0
Brooksville,irma,9/10/2017,20.8,42.9,1410,252705.1074,270991.4331,7.236231150269192,0
Brooksville,irma,9/9/2017,13.87,25.9,1410,252705.1074,270991.4331,7.236231150269192,0
Brooksville,matthew,10/7/2016,19.69,30.0,1410,236668.7002,254118.0847,7.372916015195158,1
Brooksville,matthew,10/8/2016,8.05,19.9,1410,236668.7002,254118.0847,7.372916015195158,1
Brooksville,michael,10/11/2018,7.83,17.0,1410,273590.5313,287680.357,5.149968324214459,0
Brooksville,michael,10/10/2018,13.2,25.1,1410,273590.5313,287680.357,5.149968324214459,0
Brooksville,michael,10/9/2018,10.07,16.1,1410,273590.5313,287680.357,5.149968324214459,0
Clearwater,charley,8/13/2004,9.62,25.1,233,292317.2752,343430.0939,17.485391058407078,0
Clearwater,charley,8/14/2004,7.38,25.1,233,292317.2752,343430.0939,17.485391058407078,0
Clearwater,dennis,7/10/2005,20.13,36.0,233,337493.6518,420380.9426,24.55965922852953,0
Clearwater,dennis,7/11/2005,7.83,15.0,233,337493.6518,420380.9426,24.55965922852953,0
Clearwater,irma,9/11/2017,20.8,53.0,233,348065.2985,365952.6236,5.139071656119151,0
Clearwater,irma,9/10/2017,25.5,49.0,233,348065.2985,365952.6236,5.139071656119151,0
Clearwater,irma,9/9/2017,15.66,25.1,233,348065.2985,365952.6236,5.139071656119151,0
Clearwater,matthew,10/7/2016,20.58,31.1,233,331293.1616,349546.3935,5.509691721931399,0
Clearwater,matthew,10/8/2016,8.28,17.0,233,331293.1616,349546.3935,5.509691721931399,0
Clearwater,michael,10/11/2018,8.05,16.1,233,366978.3495,384261.2637,4.709518755955928,0
Clearwater,michael,10/10/2018,18.34,30.0,233,366978.3495,384261.2637,4.709518755955928,0
Clearwater,michael,10/9/2018,14.09,28.0,233,366978.3495,384261.2637,4.709518755955928,0
Cross City,charley,8/13/2004,4.47,14.1,11954,98118.0009,119490.9972,21.78295124641089,0
Cross City,charley,8/14/2004,2.91,13.0,11954,98118.0009,119490.9972,21.78295124641089,0
Cross City,dennis,7/10/2005,11.41,25.9,11954,117276.7711,144583.9628,23.284399326372665,0
Cross City,dennis,7/11/2005,8.28,25.9,11954,117276.7711,144583.9628,23.284399326372665,0
Cross City,ian,9/29/2022,40.532628,65.09379,11954,130756.8966,140391.3734,7.368236055244538,1
Cross City,irma,9/11/2017,35.12,40.9,11954,125477.6458,129901.7487,3.525809614767253,0
Cross City,irma,9/10/2017,19.91,31.1,11954,125477.6458,129901.7487,3.525809614767253,0
Cross City,irma,9/9/2017,12.97,21.9,11954,125477.6458,129901.7487,3.525809614767253,0
Cross City,matthew,10/7/2016,16.33,27.1,11954,124107.7381,125538.8548,1.1531244722604437,0
Cross City,matthew,10/8/2016,8.95,16.1,11954,124107.7381,125538.8548,1.1531244722604437,0
Cross City,michael,10/11/2018,9.84,16.1,11954,130756.8966,140391.3734,7.368236055244538,1
Cross City,michael,10/10/2018,14.99,23.0,11954,130756.8966,140391.3734,7.368236055244538,1
Cross City,michael,10/9/2018,6.93,13.0,11954,130756.8966,140391.3734,7.368236055244538,1
Daytona Beach,charley,8/13/2004,8.28,0.0,744,215507.7384,262087.9099,21.61415262664183,0
Daytona Beach,charley,8/14/2004,8.28,8.1,744,215507.7384,262087.9099,21.61415262664183,0
Daytona Beach,dennis,7/10/2005,8.95,21.9,744,257283.4747,334023.3767,29.826984453424764,1
Daytona Beach,dennis,7/11/2005,5.14,17.9,744,257283.4747,334023.3767,29.826984453424764,1
Daytona Beach,ian,9/29/2022,74.063759,138.6878,744,257054.0379,270803.3252,5.348792577749282,0
Daytona Beach,irma,9/11/2017,19.91,38.9,744,234374.4763,255706.8435,9.101830342948473,1
Daytona Beach,irma,9/10/2017,24.61,53.9,744,234374.4763,255706.8435,9.101830342948473,1
Daytona Beach,irma,9/9/2017,17.22,31.1,744,234374.4763,255706.8435,9.101830342948473,1
Daytona Beach,matthew,10/7/2016,27.51,52.1,744,220281.3651,235594.0105,6.951402990011708,0
Daytona Beach,matthew,10/8/2016,12.08,23.9,744,220281.3651,235594.0105,6.951402990011708,0
Daytona Beach,michael,10/11/2018,10.07,19.9,744,257054.0379,270803.3252,5.348792577749282,0
Daytona Beach,michael,10/10/2018,8.95,29.1,744,257054.0379,270803.3252,5.348792577749282,0
Daytona Beach,michael,10/9/2018,10.51,23.0,744,257054.0379,270803.3252,5.348792577749282,0
Fort Lauderdale,charley,8/13/2004,13.87,36.9,190,519364.7245,625317.4404,20.40044517886773,0
Fort Lauderdale,charley,8/14/2004,8.95,17.0,190,519364.7245,625317.4404,20.40044517886773,0
Fort Lauderdale,charley,8/13/2004,13.65,36.0,190,519364.7245,625317.4404,20.40044517886773,0
Fort Lauderdale,charley,8/14/2004,10.29,21.9,190,519364.7245,625317.4404,20.40044517886773,0
Fort Lauderdale,dennis,7/10/2005,12.97,23.9,190,615552.1642,768214.3417,24.80085139468347,0
Fort Lauderdale,dennis,7/11/2005,7.83,15.0,190,615552.1642,768214.3417,24.80085139468347,0
Fort Lauderdale,dennis,7/10/2005,12.3,31.1,190,615552.1642,768214.3417,24.80085139468347,0
Fort Lauderdale,dennis,7/11/2005,7.83,15.0,190,615552.1642,768214.3417,24.80085139468347,0
Fort Lauderdale,irma,9/11/2017,13.2,19.9,190,637094.9318,669502.0042,5.08669442848014,0
Fort Lauderdale,irma,9/10/2017,37.13,53.0,190,637094.9318,669502.0042,5.08669442848014,0
Fort Lauderdale,irma,9/9/2017,20.13,38.9,190,637094.9318,669502.0042,5.08669442848014,0
Fort Lauderdale,irma,9/9/2017,21.92,53.0,190,637094.9318,669502.0042,5.08669442848014,0
Fort Lauderdale,matthew,10/7/2016,15.66,25.9,190,631061.6189,640267.6739,1.4588202996796216,0
Fort Lauderdale,matthew,10/8/2016,8.05,14.1,190,631061.6189,640267.6739,1.4588202996796216,0
Fort Lauderdale,matthew,10/7/2016,16.55,29.1,190,631061.6189,640267.6739,1.4588202996796216,0
Fort Lauderdale,matthew,10/8/2016,7.61,15.0,190,631061.6189,640267.6739,1.4588202996796216,0
Fort Lauderdale,michael,10/11/2018,4.92,17.0,190,671004.0287,699377.1304,4.228454746385042,0
Fort Lauderdale,michael,10/10/2018,10.07,21.0,190,671004.0287,699377.1304,4.228454746385042,0
Fort Lauderdale,michael,10/9/2018,12.75,19.9,190,671004.0287,699377.1304,4.228454746385042,0
Fort Lauderdale,michael,10/11/2018,5.14,23.0,190,671004.0287,699377.1304,4.228454746385042,0
Fort Lauderdale,michael,10/10/2018,11.41,23.9,190,671004.0287,699377.1304,4.228454746385042,0
Fort Lauderdale,michael,10/9/2018,14.99,25.1,190,671004.0287,699377.1304,4.228454746385042,0
Fort Myers,charley,8/13/2004,15.88,50.1,106,324271.68,378762.014,16.803913927975465,0
Fort Myers,charley,8/14/2004,14.09,46.1,106,324271.68,378762.014,16.803913927975465,0
Fort Myers,charley,8/13/2004,17.22,61.1,106,324271.68,378762.014,16.803913927975465,0
Fort Myers,charley,8/14/2004,7.83,17.9,106,324271.68,378762.014,16.803913927975465,0
Fort Myers,dennis,7/10/2005,12.97,21.9,106,372909.4435,488064.0176,30.88003699214445,1
Fort Myers,dennis,7/11/2005,5.37,21.0,106,372909.4435,488064.0176,30.88003699214445,1
Fort Myers,dennis,7/10/2005,14.32,23.9,106,372909.4435,488064.0176,30.88003699214445,1
Fort Myers,dennis,7/11/2005,6.71,21.0,106,372909.4435,488064.0176,30.88003699214445,1
Fort Myers,ian,9/28/2022,49.547335,74.04139,106,367599.0892,374571.4371,1.8967261086456448,0
Fort Myers,ian,9/28/2022,73.549272,174.70189,106,367599.0892,374571.4371,1.8967261086456448,0
Fort Myers,irma,9/9/2017,16.78,32.0,106,364601.7623,367619.1464,0.8275835204321569,0
Fort Myers,irma,9/11/2017,19.24,45.0,106,364601.7623,367619.1464,0.8275835204321569,0
Fort Myers,irma,9/10/2017,35.34,74.0,106,364601.7623,367619.1464,0.8275835204321569,0
Fort Myers,irma,9/9/2017,16.33,31.1,106,364601.7623,367619.1464,0.8275835204321569,0
Fort Myers,matthew,10/7/2016,15.21,23.9,106,356328.7705,364961.7378,2.422753371243712,0
Fort Myers,matthew,10/8/2016,8.72,16.1,106,356328.7705,364961.7378,2.422753371243712,0
Fort Myers,matthew,10/7/2016,10.96,21.9,106,356328.7705,364961.7378,2.422753371243712,0
Fort Myers,matthew,10/8/2016,6.26,13.0,106,356328.7705,364961.7378,2.422753371243712,0
Fort Myers,michael,10/11/2018,5.14,23.9,106,367599.0892,374571.4371,1.8967261086456448,0
Fort Myers,michael,10/10/2018,11.41,21.9,106,367599.0892,374571.4371,1.8967261086456448,0
Fort Myers,michael,10/9/2018,11.63,19.9,106,367599.0892,374571.4371,1.8967261086456448,0
