City,HurricaneName,DATE,AWND,WSF2,SizeRank,before,after,percent,increase
Apalachicola,irma,9/9/2017,12.97,19.9,12877,52379.75722,63594.00344,21.40950400533376,1
Apalachicola,matthew,10/7/2016,10.74,21.9,12877,48548.85811,52980.36723,9.12793687126332,0
Brooksville,dennis,7/10/2005,13.42,28.0,1410,57099.70044,74016.75109,29.62721436301813,0
Brooksville,irma,9/10/2017,20.8,42.9,1410,60059.47846,71868.1281,19.66159204639887,1
Brooksville,irma,9/9/2017,13.87,25.9,1410,60059.47846,71868.1281,19.66159204639887,1
Brooksville,matthew,10/8/2016,8.05,19.9,1410,50528.88696,60596.572,19.924612722955565,1
Brooksville,michael,10/11/2018,7.83,17.0,1410,73248.75858,81686.8292,11.519745567816283,0
Brooksville,michael,10/10/2018,13.2,25.1,1410,73248.75858,81686.8292,11.519745567816283,0
Clearwater,charley,8/14/2004,7.38,25.1,233,60910.27236,72107.21599,18.38268521247505,0
Clearwater,dennis,7/11/2005,7.83,15.0,233,70830.97375,89780.02572,26.75249395396036,0
Clearwater,irma,9/11/2017,20.8,53.0,233,86578.44189,99860.1783,15.340696968045192,0
Clearwater,irma,9/10/2017,25.5,49.0,233,86578.44189,99860.1783,15.340696968045192,0
Clearwater,matthew,10/7/2016,20.58,31.1,233,75030.31664,87159.19859,16.165308228932453,1
Clearwater,michael,10/11/2018,8.05,16.1,233,100766.1453,112524.3279,11.66878276924621,0
Clearwater,michael,10/9/2018,14.09,28.0,233,100766.1453,112524.3279,11.66878276924621,0
Daytona Beach,dennis,7/10/2005,8.95,21.9,744,58117.18472,76823.1666,32.186662120890155,1
Daytona Beach,dennis,7/11/2005,5.14,17.9,744,58117.18472,76823.1666,32.186662120890155,1
Daytona Beach,michael,10/10/2018,8.95,29.1,744,75898.37554,84848.32682,11.792019547616274,0
Fort Lauderdale,charley,8/14/2004,10.29,21.9,190,92573.79858,113434.3564,22.533976287008272,0
Fort Lauderdale,dennis,7/10/2005,12.97,23.9,190,111605.986,141853.4551,27.102013237892088,0
Fort Lauderdale,matthew,10/7/2016,16.55,29.1,190,138330.7008,154191.0628,11.465540121083537,0
