NAME,LATITUDE,LONGITUDE,DATE,AWND,WSF2,HurricaneName
"FORT PIERCE, FL US",27.4419,-80.3508,7/10/2005,,,dennis
"FORT PIERCE ARC, FL US",27.4272,-80.4053,7/10/2005,,,dennis
"BIG CYPRESS, FL US",26.3283,-80.9958,7/10/2005,,,dennis
"HOMESTEAD GEN AVIATION AIRPORT, FL US",25.5011,-80.55,7/10/2005,,,dennis
"LOXAHATCHEE NWR, FL US",26.4985,-80.216,7/10/2005,,,dennis
"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",30.49529,-81.69374,7/10/2005,14.54,23.0,dennis
"BRISTOL 2 S, FL US",30.3794,-84.9788,7/10/2005,,,dennis
"PENSUCCO II, FL US",25.93833,-80.44056,7/10/2005,,,dennis
"BLOXHAM FLORIDA, FL US",30.5872,-84.9886,7/10/2005,,,dennis
"JOHN PENNEKAMP STATE PARK, FL US",25.1936,-80.3493,7/10/2005,,,dennis
"CRESTVIEW FAA AP, FL US",30.77715,-86.51938,7/10/2005,19.69,42.9,dennis
"CROSS CITY 1 E, FL US",29.6333,-83.1053,7/10/2005,,,dennis
"MONTICELLO WTP, FL US",30.49222,-83.78333,7/10/2005,,,dennis
"LISBON, FL US",28.8728,-81.7844,7/10/2005,,,dennis
"WEEKI WACHEE, FL US",28.5175,-82.5756,7/10/2005,,,dennis
"PANAMA CITY 5 N, FL US",30.2491,-85.6605,7/10/2005,,,dennis
"MARIANNA MUNICIPAL AIRPORT, FL US",30.83696,-85.18352,7/10/2005,14.54,25.1,dennis
"PENSACOLA REGIONAL AIRPORT, FL US",30.47612,-87.18575,7/10/2005,22.59,76.1,dennis
"CANAL POINT USDA, FL US",26.8639,-80.6256,7/10/2005,,,dennis
"MAYPORT PILOT STATION, FL US",30.4,-81.41667,7/10/2005,,34.9,dennis
"PENSACOLA FOREST SHERMAN NAS, FL US",30.35,-87.31667,7/10/2005,,47.0,dennis
"PALM SHORES 1.4 W, FL US",28.18825,-80.680461,7/10/2005,,,dennis
"OCHOPEE FLORIDA, FL US",25.9167,-81.2833,7/10/2005,,,dennis
"WHITE SPRINGS 7 N, FL US",30.4392,-82.7847,7/10/2005,,,dennis
"WAUCHULA, FL US",27.5477,-81.7994,7/10/2005,,,dennis
