City,HurricaneName,DATE,AWND,WSF2,SizeRank,before,after,percent,increase
Apalachicola,charley,8/14/2004,5.82,13.0,12877,221794.3003,275297.2698,24.122788289704307,1
Apalachicola,dennis,7/10/2005,19.46,30.0,12877,269923.5452,339439.8016,25.75405430026192,0
Apalachicola,irma,9/11/2017,20.8,36.9,12877,257605.2886,276477.8214,7.326143381048588,0
Apalachicola,matthew,10/7/2016,10.74,21.9,12877,255217.2827,259168.4086,1.5481419824708385,0
Apalachicola,michael,10/10/2018,29.75,63.1,12877,279871.2479,308859.81,10.35782071846044,1
Brooksville,charley,8/13/2004,7.38,13.0,1410,231523.479,271932.0594,17.4533401858565,0
Brooksville,dennis,7/10/2005,13.42,28.0,1410,267943.0755,341610.9031,27.493835197095816,0
Brooksville,irma,9/10/2017,20.8,42.9,1410,252705.1074,270991.4331,7.236231150269192,0
Brooksville,matthew,10/7/2016,19.69,30.0,1410,236668.7002,254118.0847,7.372916015195158,1
Brooksville,michael,10/10/2018,13.2,25.1,1410,273590.5313,287680.357,5.149968324214459,0
Clearwater,charley,8/13/2004,9.62,25.1,233,292317.2752,343430.0939,17.485391058407078,0
Clearwater,dennis,7/10/2005,20.13,36.0,233,337493.6518,420380.9426,24.55965922852953,0
Clearwater,irma,9/10/2017,25.5,49.0,233,348065.2985,365952.6236,5.139071656119151,0
Clearwater,matthew,10/7/2016,20.58,31.1,233,331293.1616,349546.3935,5.509691721931399,0
Clearwater,michael,10/10/2018,18.34,30.0,233,366978.3495,384261.2637,4.709518755955928,0
Cross City,charley,8/13/2004,4.47,14.1,11954,98118.0009,119490.9972,21.78295124641089,0
Cross City,dennis,7/10/2005,11.41,25.9,11954,117276.7711,144583.9628,23.284399326372665,0
Cross City,irma,9/11/2017,35.12,40.9,11954,125477.6458,129901.7487,3.525809614767253,0
Cross City,matthew,10/7/2016,16.33,27.1,11954,124107.7381,125538.8548,1.1531244722604437,0
Cross City,michael,10/10/2018,14.99,23.0,11954,130756.8966,140391.3734,7.368236055244538,1
Daytona Beach,charley,8/14/2004,8.28,8.1,744,215507.7384,262087.9099,21.61415262664183,0
Daytona Beach,dennis,7/10/2005,8.95,21.9,744,257283.4747,334023.3767,29.826984453424764,1
Daytona Beach,irma,9/10/2017,24.61,53.9,744,234374.4763,255706.8435,9.101830342948473,1
Daytona Beach,matthew,10/7/2016,27.51,52.1,744,220281.3651,235594.0105,6.951402990011708,0
Daytona Beach,michael,10/9/2018,10.51,23.0,744,257054.0379,270803.3252,5.348792577749282,0
Fort Lauderdale,charley,8/13/2004,13.87,36.9,190,519364.7245,625317.4404,20.40044517886773,0
Fort Lauderdale,dennis,7/10/2005,12.97,23.9,190,615552.1642,768214.3417,24.80085139468347,0
Fort Lauderdale,irma,9/10/2017,37.13,53.0,190,637094.9318,669502.0042,5.08669442848014,0
Fort Lauderdale,matthew,10/7/2016,16.55,29.1,190,631061.6189,640267.6739,1.4588202996796216,0
Fort Lauderdale,michael,10/9/2018,14.99,25.1,190,671004.0287,699377.1304,4.228454746385042,0
Fort Myers,charley,8/13/2004,17.22,61.1,106,324271.68,378762.014,16.803913927975465,0
Fort Myers,dennis,7/10/2005,14.32,23.9,106,372909.4435,488064.0176,30.88003699214445,1
Fort Myers,irma,9/10/2017,35.34,74.0,106,364601.7623,367619.1464,0.8275835204321569,0
Fort Myers,matthew,10/7/2016,15.21,23.9,106,356328.7705,364961.7378,2.422753371243712,0
Fort Myers,michael,10/10/2018,14.32,25.9,106,367599.0892,374571.4371,1.8967261086456448,0
Fort Pierce,charley,8/13/2004,11.41,23.9,529,189617.9706,234681.7573,23.76556744986068,1
Fort Pierce,dennis,7/10/2005,12.97,25.9,529,231726.6228,295811.4208,27.65534543491393,0
Fort Pierce,irma,9/10/2017,31.32,70.9,529,219812.9603,237151.374,7.887803192467175,1
Fort Pierce,matthew,10/7/2016,22.59,42.9,529,202473.6302,221122.5997,9.210567065735347,1
Fort Pierce,michael,10/9/2018,15.43,21.9,529,238822.3797,257475.1745,7.8103211363319325,1
Gainesville,charley,8/13/2004,5.37,19.9,132,231214.6597,262351.7533,13.466747151932424,0
Gainesville,dennis,7/10/2005,12.75,23.0,132,261448.4782,310672.0313,18.82724789177984,0
Gainesville,irma,9/11/2017,20.58,45.0,132,279545.3858,295460.4208,5.693184652093096,0
Gainesville,matthew,10/7/2016,19.24,33.1,132,267602.7076,281494.5111,5.19120438824737,0
Gainesville,michael,10/10/2018,13.87,23.9,132,297086.5651,309226.1863,4.086223554375059,0
Jacksonville,charley,8/14/2004,6.49,19.9,12,219711.2386,249137.7656,13.393273456335612,0
Jacksonville,dennis,7/10/2005,14.76,25.9,12,246642.7616,289831.0195,17.510450183022925,0
Jacksonville,irma,9/10/2017,35.57,53.9,12,258411.0928,273824.5035,5.964686164587118,0
Jacksonville,matthew,10/7/2016,33.33,53.0,12,244929.7394,259913.2909,6.1174896673245724,0
Jacksonville,michael,10/9/2018,20.36,33.1,12,275151.6187,289155.4324,5.089489847874916,0
Kendall West,charley,8/13/2004,11.41,25.9,1644,257119.9026,313453.2404,21.909364942331,1
Kendall West,dennis,7/10/2005,9.62,25.9,1644,308142.534,388009.3478,25.91878919253647,0
Kendall West,irma,9/10/2017,37.13,46.1,1644,333209.0772,346409.7282,3.961672086164888,0
Kendall West,matthew,10/7/2016,13.2,25.9,1644,310866.5531,335717.6484,7.994136085784001,1
Kendall West,michael,10/9/2018,11.41,18.1,1644,348232.7086,368569.8331,5.840096004123599,0
Lakeland,irma,9/10/2017,21.92,51.0,105,227174.9893,241926.8613,6.4936162407029565,0
Lakeland,matthew,10/7/2016,17.45,21.9,105,214197.0619,228602.2199,6.7251893523755175,0
Lakeland,michael,10/10/2018,14.32,21.9,105,243185.0002,259533.9233,6.722833680759223,1
Melbourne,charley,8/13/2004,13.87,33.1,299,290803.3142,370636.3404,27.45258472023286,1
Melbourne,dennis,7/10/2005,13.2,21.9,299,363844.117,458646.0223,26.055637804911925,0
Melbourne,irma,9/9/2017,21.7,28.0,299,350744.2013,379090.0131,8.0816195093002,1
Melbourne,matthew,10/7/2016,25.72,53.0,299,328269.0207,353909.9139,7.810939072265613,1
Melbourne,michael,10/9/2018,14.54,25.1,299,380427.405,392070.9743,3.0606547128222723,0
Miami,charley,8/13/2004,13.65,30.0,20,438933.0461,531656.5319,21.12474479282547,0
Miami,dennis,7/10/2005,11.86,21.0,20,522859.0158,658514.4525,25.94493593888604,0
Miami,irma,9/10/2017,38.48,53.0,20,616647.3435,607381.1066,-1.5026800970885723,0
Miami,matthew,10/7/2016,11.86,23.0,20,638691.7132,612111.9006,-4.161602859512402,0
Miami,michael,10/9/2018,12.75,18.1,20,612037.4492,614896.556,0.4671457283761175,0
Milton,irma,9/11/2017,16.33,25.1,704,224970.4349,242588.9803,7.831493683972962,0
Milton,matthew,10/8/2016,12.75,23.0,704,216985.1629,227014.5237,4.622141286509131,0
Milton,michael,10/9/2018,12.08,21.0,704,243777.5003,257040.3459,5.440553612896313,0
Opa-locka,charley,8/13/2004,14.54,33.1,4119,163752.0768,194909.3204,19.027083020176992,0
Opa-locka,dennis,7/10/2005,13.65,25.9,4119,191819.8281,235808.3429,22.932204264653897,0
Opa-locka,irma,9/10/2017,40.71,55.0,4119,202989.526,238091.8295,17.292667356639857,1
Opa-locka,matthew,10/7/2016,15.66,28.0,4119,173065.9123,206154.6358,19.11914545172972,1
Opa-locka,michael,10/9/2018,12.97,18.1,4119,239518.7418,264040.4392,10.237903395666564,1
Orlando,charley,8/13/2004,14.32,79.0,16,268593.099,311622.3096,16.020221949187157,0
Orlando,dennis,7/10/2005,14.09,23.9,16,306587.5201,404532.4244,31.94680079216961,1
Orlando,irma,9/11/2017,25.5,55.9,16,317475.2382,336663.0418,6.04387406992423,0
Orlando,matthew,10/7/2016,26.17,46.1,16,302316.0139,319244.4829,5.599593875830731,0
Orlando,michael,10/10/2018,13.42,29.1,16,338442.4659,356101.7583,5.2178122367238,0
Panama City,irma,9/10/2017,19.46,33.1,916,233022.5585,245478.8296,5.345521558162783,0
Panama City,matthew,10/8/2016,10.51,21.0,916,231921.1188,234397.5192,1.0677770152254082,0
Panama City,michael,10/10/2018,19.46,38.0,916,247267.9179,260155.7561,5.212094763224436,0
Panama City Beach,charley,8/13/2004,10.96,16.1,1343,351657.4062,468934.2673,33.34974865659461,1
Panama City Beach,dennis,7/10/2005,23.71,38.0,1343,457389.6733,605350.7549,32.3490210289363,1
Pembroke Pines,charley,8/13/2004,13.2,30.0,219,308293.9687,367350.0459,19.155767934424723,0
Pembroke Pines,dennis,7/10/2005,12.08,25.9,219,361776.5499,455678.0266,25.95565597769,0
Pembroke Pines,irma,9/10/2017,30.65,42.9,219,402702.7998,424632.5536,5.445642248052731,0
Pembroke Pines,matthew,10/7/2016,15.66,25.9,219,382415.2176,405177.6835,5.952290822225901,0
Pembroke Pines,michael,10/9/2018,11.18,17.0,219,425090.3076,439152.8999,3.3081423049599588,0
Pensacola,charley,8/13/2004,9.84,16.1,110,177977.3712,205712.0826,15.583279611897089,0
Pensacola,dennis,7/10/2005,22.59,76.1,110,202957.5487,254866.4387,25.576230267112987,0
Pensacola,irma,9/11/2017,17.22,28.0,110,230793.6716,246943.3649,6.997459327216658,0
Pensacola,matthew,10/8/2016,14.09,21.9,110,219073.6678,232278.0456,6.027368753443593,0
Pensacola,michael,10/10/2018,14.76,31.1,110,248264.2246,265508.8694,6.946085295931938,1
Pompano Beach,charley,8/13/2004,15.66,28.0,390,291175.1939,355678.3378,22.15269200512756,1
Pompano Beach,dennis,7/10/2005,14.32,33.1,390,349656.0714,442294.7042,26.49421542405397,0
Pompano Beach,irma,9/10/2017,40.26,59.1,390,348303.151,372110.4164,6.835213902500691,0
Pompano Beach,matthew,10/7/2016,16.11,30.0,390,333781.4366,350700.3841,5.068870118225146,0
Pompano Beach,michael,10/9/2018,14.32,21.0,390,373060.3676,393337.487,5.435345365268445,0
Punta Gorda,dennis,7/10/2005,14.54,28.0,1014,385786.1654,491470.1882,27.39445637985026,0
Punta Gorda,irma,9/10/2017,31.54,55.9,1014,382311.1292,395051.585,3.332483630978744,0
Punta Gorda,matthew,10/7/2016,15.66,25.1,1014,368905.9169,382742.7248,3.750768764099488,0
Punta Gorda,michael,10/10/2018,14.09,28.0,1014,395056.8043,417876.7411,5.776368499824866,0
